ym,n,net
2023-01,115,-73.18
2023-02,95,35.92
2023-03,130,-165.54
2023-04,86,-117.41
2023-05,88,-81.39
2023-06,89,-4.04
2023-07,57,36.79
2023-08,60,-3.44
2023-09,41,-27.87
2023-10,93,5.97
2023-11,58,-41.09
2023-12,85,-187.14
2024-01,76,115.47
2024-02,38,6.16
2024-03,84,76.54
2024-04,127,166.13
2024-05,93,36.88
2024-06,81,33.17
2024-07,101,22.47
2024-08,66,99.68
2024-09,50,52.13
2024-10,46,52.76
2024-11,70,33.4
2024-12,64,62.99
2025-01,31,60.48
2025-02,49,94.48
2025-03,55,1.05
2025-04,66,26.1
2025-05,89,-99.15
2025-06,68,28.15
2025-07,57,-27.54
2025-08,49,42.33
2025-09,60,-10.99
2025-10,6,-21.65
2025-11,33,-4.41
2025-12,13,27.21
2026-01,8,-47.38
2026-02,120,350.01
2026-03,116,70.81
2026-04,103,9.76
2026-05,100,-20.89
2026-06,79,140.25
2026-07,21,-58.58
