grid_usd,basket_cap,net,trades,winrate,maxdd,net/maxdd
3.0,10,-897.8,3036,68.3,-1028.8,-0.87
3.0,15,-792.4,3911,71.7,-1215.5,-0.65
3.0,20,-1223.1,4494,72.2,-1677.4,-0.73
3.0,30,-2648.1,5506,73.1,-2807.9,-0.94
3.0,60,-1204.8,8746,75.4,-1948.5,-0.62
3.0,none,-1656.2,16904,78.2,-3324.6,-0.5
5.0,10,-250.8,1902,65.7,-538.3,-0.47
5.0,15,-1501.2,2146,67.0,-1540.3,-0.97
5.0,20,-1158.8,2512,69.2,-1433.5,-0.81
5.0,30,-1714.6,3067,71.5,-2227.3,-0.77
5.0,60,192.7,4742,74.7,-1103.5,0.17
5.0,none,12.2,9327,77.2,-2761.0,0.0
7.0,10,-465.8,1255,62.1,-641.3,-0.73
7.0,15,-513.4,1464,65.4,-722.9,-0.71
7.0,20,-317.5,1691,68.7,-783.0,-0.41
7.0,30,-497.3,2034,70.7,-829.8,-0.6
7.0,60,-649.4,2829,73.3,-1366.7,-0.48
7.0,none,-579.8,5732,76.0,-2967.7,-0.2
10.0,10,-18.7,793,60.4,-329.3,-0.06
10.0,15,255.7,954,66.8,-225.5,1.13
10.0,20,-20.4,1038,67.5,-472.2,-0.04
10.0,30,288.0,1276,70.0,-366.4,0.79
10.0,60,-750.4,1610,72.0,-964.6,-0.78
10.0,none,-440.0,3178,74.8,-2729.4,-0.16
14.0,10,326.7,477,60.6,-176.4,1.85
14.0,15,394.7,567,64.4,-217.2,1.82
14.0,20,-29.2,592,65.7,-335.8,-0.09
14.0,30,61.7,697,69.3,-424.0,0.15
14.0,60,-69.4,883,71.5,-485.9,-0.14
14.0,none,124.3,1689,75.1,-2352.6,0.05
