run_id,strategy_version,param_set_id,symbol,timeframe,position_id,deal_in,deal_out,order_kind,direction,entry_reason,exit_reason,deal_reason_raw,order_number,entry_time,entry_time_msc,entry_price,exit_time,exit_time_msc,exit_price,volume,sl_price,tp_price,profit,commission,swap,net_pnl,holding_seconds,vol_gate_low,market_state,rv_short_pts,rv_ratio,multiplier_a,grid_dist_pts,tp_dist_pts,baseline_at_entry,risk_level_at_entry,avg_vol_per_min,spread_pts_at_entry,atr_at_entry
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,2,2,3,trend,1,trend_buy,trend_state_exit,expert,1,2023.01.04 08:02:00,1672819320000,1859.713,2023.01.04 09:10:00,1672823400000,1858.992,0.01,1853.177,0.000,-0.72,0.00,0.00,-0.72,4080,0,1,767.86,0.0413,1.0000,0.0,0.0,1857.412,1,114.90,400.0,1.766
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,4,4,5,trend,1,trend_buy,trend_state_exit,expert,1,2023.01.13 14:55:00,1673621700000,1910.197,2023.01.13 16:15:00,1673626500000,1911.039,0.01,1902.329,0.000,0.84,0.00,0.00,0.84,4800,0,1,696.24,0.0365,1.0000,0.0,0.0,1907.679,1,160.55,200.0,2.126
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,6,6,7,trend,-1,trend_sell,trend_state_exit,expert,1,2023.01.18 16:35:00,1674059700000,1908.290,2023.01.18 18:20:00,1674066000000,1905.500,0.01,1916.797,0.000,2.79,0.00,0.00,2.79,6300,0,2,702.97,0.0368,1.0000,0.0,0.0,1909.422,1,138.80,200.0,2.299
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,8,8,9,trend,-1,trend_sell,trend_state_exit,expert,1,2023.02.02 14:50:00,1675349400000,1934.020,2023.02.02 18:20:00,1675362000000,1915.562,0.01,1945.377,0.000,18.46,0.00,0.00,18.46,12600,0,2,1158.10,0.0599,1.0000,0.0,0.0,1940.975,1,244.20,200.0,3.070
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,10,10,11,trend,1,trend_buy,trend_state_exit,expert,1,2023.03.10 15:35:00,1678462500000,1866.266,2023.03.10 16:15:00,1678464900000,1858.978,0.01,1854.917,0.000,-7.29,0.00,0.00,-7.29,2400,0,1,796.85,0.0427,1.0000,0.0,0.0,1864.631,1,254.88,200.0,3.067
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,12,12,13,trend,1,trend_buy,trend_state_exit,expert,1,2023.03.13 09:44:00,1678700640000,1893.750,2023.03.13 10:00:00,1678701600000,1885.903,0.01,1885.448,0.000,-7.85,0.00,0.00,-7.85,960,0,1,707.35,0.0374,1.0000,0.0,0.0,1891.237,1,183.78,200.0,2.244
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,14,14,15,trend,1,trend_buy,trend_state_exit,expert,1,2023.03.17 13:15:00,1679058900000,1949.597,2023.03.17 15:15:00,1679066100000,1957.039,0.01,1941.055,0.000,7.44,0.00,0.00,7.44,7200,0,1,711.26,0.0365,1.0000,0.0,0.0,1948.081,1,176.85,200.0,2.309
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,16,16,17,trend,1,trend_buy,sl,sl,1,2023.03.17 17:35:00,1679074500000,1971.966,2023.03.17 19:23:40,1679081020000,1978.392,0.01,1963.817,0.000,6.42,0.00,0.00,6.42,6520,0,1,819.76,0.0416,1.0000,0.0,0.0,1967.933,1,149.22,400.0,2.202
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,18,18,19,trend,1,trend_buy,trend_state_exit,expert,1,2023.03.17 19:24:00,1679081040000,1978.573,2023.03.17 19:25:00,1679081100000,1977.305,0.01,1967.658,0.000,-1.26,0.00,0.00,-1.26,60,0,1,641.17,0.0324,1.0000,0.0,0.0,1981.796,1,210.93,200.0,2.950
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,20,20,21,trend,1,trend_buy,sl,sl,1,2023.03.20 06:19:00,1679293140000,1983.987,2023.03.20 08:01:40,1679299300000,1997.637,0.01,1975.815,0.000,13.65,0.00,0.00,13.65,6160,0,1,865.84,0.0436,1.0000,0.0,0.0,1984.009,1,151.53,200.0,2.209
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,22,22,23,trend,1,trend_buy,trend_state_exit,expert,1,2023.03.20 08:02:00,1679299320000,1997.839,2023.03.20 08:05:00,1679299500000,1999.923,0.01,1984.541,0.000,2.08,0.00,0.00,2.08,180,0,1,1280.97,0.0641,1.0000,0.0,0.0,2002.491,1,251.75,600.0,3.594
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,24,24,25,trend,1,trend_buy,trend_state_exit,expert,1,2023.03.23 18:10:00,1679595000000,2002.050,2023.03.23 18:55:00,1679597700000,1998.706,0.01,1994.809,0.000,-3.34,0.00,0.00,-3.34,2700,0,1,504.04,0.0252,1.0000,0.0,0.0,2001.227,1,127.42,200.0,1.957
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,26,26,27,trend,1,trend_buy,sl,sl,1,2023.03.24 10:15:00,1679652900000,1999.511,2023.03.24 10:47:40,1679654860000,1993.741,0.01,1992.096,0.000,-5.77,0.00,0.00,-5.77,1960,0,1,743.45,0.0372,1.0000,0.0,0.0,1997.234,1,142.32,200.0,2.004
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,28,28,29,trend,1,trend_buy,trend_state_exit,expert,1,2023.03.24 10:48:00,1679654880000,1994.110,2023.03.24 10:50:00,1679655000000,1993.884,0.01,1985.643,0.000,-0.23,0.00,0.00,-0.23,120,0,1,537.74,0.0270,1.0000,0.0,0.0,1996.332,1,177.57,200.0,2.288
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,30,30,31,trend,-1,trend_sell,trend_state_exit,expert,1,2023.03.27 10:10:00,1679911800000,1953.068,2023.03.27 11:30:00,1679916600000,1952.991,0.01,1961.949,0.000,0.08,0.00,0.00,0.08,4800,0,2,994.64,0.0509,1.0000,0.0,0.0,1954.417,1,137.90,200.0,2.400
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,32,32,33,trend,1,trend_buy,trend_state_exit,expert,1,2023.03.30 16:35:00,1680194100000,1981.953,2023.03.30 17:25:00,1680197100000,1979.730,0.01,1975.491,0.000,-2.22,0.00,0.00,-2.22,3000,0,1,487.25,0.0246,1.0000,0.0,0.0,1980.788,1,106.00,200.0,1.746
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,34,34,35,trend,1,trend_buy,trend_state_exit,expert,1,2023.04.04 14:15:00,1680617700000,2016.904,2023.04.04 16:45:00,1680626700000,2020.349,0.01,2004.520,0.000,3.45,0.00,0.00,3.45,9000,0,1,2601.44,0.1290,1.0000,0.0,0.0,1999.938,1,326.75,720.0,3.347
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,36,36,37,trend,1,trend_buy,trend_state_exit,expert,1,2023.04.13 13:01:00,1681390860000,2043.840,2023.04.13 14:25:00,1681395900000,2041.656,0.01,2033.704,0.000,-2.18,0.00,0.00,-2.18,5040,0,1,856.11,0.0419,1.0000,0.0,0.0,2037.992,1,254.88,200.0,2.740
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,38,38,39,trend,-1,trend_sell,trend_state_exit,expert,1,2023.04.14 14:55:00,1681484100000,2000.421,2023.04.14 16:55:00,1681491300000,1998.346,0.01,2014.215,0.000,2.07,0.00,0.00,2.07,7200,0,2,1315.81,0.0658,1.0000,0.0,0.0,2003.154,1,274.38,600.0,3.728
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,40,40,41,trend,-1,trend_sell,trend_state_exit,expert,1,2023.04.17 14:50:00,1681743000000,1984.836,2023.04.17 15:15:00,1681744500000,1990.772,0.01,1995.602,0.000,-5.93,0.00,0.00,-5.93,1500,0,2,1600.16,0.0806,1.0000,0.0,0.0,1986.593,1,192.97,200.0,2.910
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,42,42,43,trend,-1,trend_sell,trend_state_exit,expert,1,2023.04.27 12:55:00,1682600100000,1983.792,2023.04.27 14:10:00,1682604600000,1985.824,0.01,1995.744,0.000,-2.03,0.00,0.00,-2.03,4500,0,2,1612.02,0.0813,1.0000,0.0,0.0,1985.676,1,341.23,200.0,3.230
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,44,44,45,trend,1,trend_buy,trend_state_exit,expert,1,2023.05.01 12:49:00,1682945340000,2003.261,2023.05.01 13:35:00,1682948100000,2000.115,0.01,1995.071,0.000,-3.14,0.00,0.00,-3.14,2760,0,1,1016.87,0.0508,1.0000,0.0,0.0,2000.455,1,238.50,200.0,2.213
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,46,46,47,trend,1,trend_buy,trend_state_exit,expert,1,2023.05.02 14:25:00,1683037500000,2003.399,2023.05.02 17:30:00,1683048600000,2014.053,0.01,1993.415,0.000,10.65,0.00,0.00,10.65,11100,0,1,1155.43,0.0577,1.0000,0.0,0.0,1998.913,1,306.95,200.0,2.698
d_locked_k40,eva028-CoreRiskV1,d_locked_k40,XAUUSD_HIST,M1,48,48,49,trend,1,trend_buy,trend_state_exit,expert,1,2023.05.04 14:30:00,1683210600000,2054.992,2023.05.04 15:10:00,1683213000000,2048.286,0.01,2042.214,0.000,-6.70,0.00,0.00,-6.70,2400,0,1,1583.16,0.0770,1.0000,0.0,0.0,2051.126,1,330.63,200.0,3.454
