run_id,strategy_version,param_set_id,symbol,timeframe,position_id,deal_in,deal_out,order_kind,direction,entry_reason,exit_reason,deal_reason_raw,order_number,entry_time,entry_time_msc,entry_price,exit_time,exit_time_msc,exit_price,volume,sl_price,tp_price,profit,commission,swap,net_pnl,holding_seconds,vol_gate_low,market_state,rv_short_pts,rv_ratio,multiplier_a,grid_dist_pts,tp_dist_pts,baseline_at_entry,risk_level_at_entry,avg_vol_per_min,spread_pts_at_entry,atr_at_entry
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,2,2,3,trend,1,trend_buy,trend_state_exit,expert,1,2023.01.04 08:06:00,1672819560000,1859.609,2023.01.04 09:10:00,1672823400000,1858.992,0.01,1852.717,0.000,-0.62,0.00,0.00,-0.62,3840,0,1,697.97,0.0375,1.0000,0.0,0.0,1858.463,1,120.22,200.0,1.863
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,4,4,5,trend,-1,trend_sell,trend_state_exit,expert,1,2023.01.05 08:38:00,1672907880000,1846.760,2023.01.05 09:15:00,1672910100000,1847.799,0.01,1853.149,0.000,-1.04,0.00,0.00,-1.04,2220,0,2,506.58,0.0274,1.0000,0.0,0.0,1846.889,1,123.65,200.0,1.727
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,6,6,7,trend,-1,trend_sell,trend_state_exit,expert,1,2023.01.05 13:55:00,1672926900000,1835.113,2023.01.05 16:15:00,1672935300000,1831.045,0.01,1843.900,0.000,4.06,0.00,0.00,4.06,8400,0,2,949.41,0.0517,1.0000,0.0,0.0,1839.394,1,243.82,400.0,2.375
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,8,8,9,trend,1,trend_buy,trend_state_exit,expert,1,2023.01.06 18:50:00,1673031000000,1868.535,2023.01.06 20:15:00,1673036100000,1868.231,0.01,1864.301,0.000,-0.31,0.00,0.00,-0.31,5100,0,1,310.64,0.0166,1.0000,0.0,0.0,1866.723,1,78.08,200.0,1.144
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,10,10,11,trend,1,trend_buy,trend_state_exit,expert,1,2023.01.13 08:40:00,1673599200000,1906.567,2023.01.13 09:25:00,1673601900000,1905.314,0.01,1899.444,0.000,-1.26,0.00,0.00,-1.26,2700,0,1,601.73,0.0316,1.0000,0.0,0.0,1906.177,1,127.33,200.0,1.925
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,12,12,13,trend,1,trend_buy,trend_state_exit,expert,1,2023.01.13 14:45:00,1673621100000,1907.329,2023.01.13 16:15:00,1673626500000,1911.039,0.01,1899.586,0.000,3.71,0.00,0.00,3.71,5400,0,1,641.16,0.0336,1.0000,0.0,0.0,1905.121,1,137.78,200.0,2.093
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,14,14,15,trend,1,trend_buy,trend_state_exit,expert,1,2023.01.13 18:45:00,1673635500000,1921.826,2023.01.13 20:05:00,1673640300000,1919.609,0.01,1917.227,0.000,-2.22,0.00,0.00,-2.22,4800,0,1,385.16,0.0200,1.0000,0.0,0.0,1920.517,1,88.22,200.0,1.243
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,16,16,17,trend,-1,trend_sell,trend_state_exit,expert,1,2023.01.16 06:35:00,1673850900000,1915.030,2023.01.16 07:25:00,1673853900000,1916.772,0.01,1919.470,0.000,-1.74,0.00,0.00,-1.74,3000,0,2,466.29,0.0243,1.0000,0.0,0.0,1917.405,1,59.00,200.0,1.200
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,18,18,19,trend,-1,trend_sell,trend_state_exit,expert,1,2023.01.16 08:35:00,1673858100000,1911.559,2023.01.16 09:15:00,1673860500000,1914.076,0.01,1916.403,0.000,-2.52,0.00,0.00,-2.52,2400,0,2,326.50,0.0171,1.0000,0.0,0.0,1912.746,1,83.53,200.0,1.309
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,20,20,21,trend,-1,trend_sell,trend_state_exit,expert,1,2023.01.16 13:10:00,1673874600000,1912.726,2023.01.16 13:40:00,1673876400000,1914.048,0.01,1917.016,0.000,-1.32,0.00,0.00,-1.32,1800,0,2,408.72,0.0214,1.0000,0.0,0.0,1913.894,1,67.35,200.0,1.160
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,22,22,23,trend,-1,trend_sell,trend_state_exit,expert,1,2023.01.17 17:50:00,1673977800000,1905.828,2023.01.17 19:30:00,1673983800000,1906.156,0.01,1911.046,0.000,-0.33,0.00,0.00,-0.33,6000,0,2,426.99,0.0224,1.0000,0.0,0.0,1906.192,1,78.85,200.0,1.410
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,24,24,25,trend,-1,trend_sell,trend_state_exit,expert,1,2023.01.18 16:30:00,1674059400000,1909.155,2023.01.18 18:20:00,1674066000000,1905.500,0.01,1917.411,0.000,3.66,0.00,0.00,3.66,6600,0,2,475.13,0.0249,1.0000,0.0,0.0,1910.606,1,139.47,200.0,2.231
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,26,26,27,trend,1,trend_buy,trend_state_exit,expert,1,2023.01.19 14:25:00,1674138300000,1917.466,2023.01.19 15:50:00,1674143400000,1919.181,0.01,1909.131,0.000,1.71,0.00,0.00,1.71,5100,0,1,700.90,0.0366,1.0000,0.0,0.0,1916.370,1,152.72,200.0,2.253
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,28,28,29,trend,1,trend_buy,trend_state_exit,expert,1,2023.01.19 19:30:00,1674156600000,1928.602,2023.01.19 21:45:00,1674164700000,1931.806,0.01,1922.957,0.000,3.21,0.00,0.00,3.21,8100,0,1,963.07,0.0499,1.0000,0.0,0.0,1926.315,1,93.55,200.0,1.526
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,30,30,31,trend,1,trend_buy,trend_state_exit,expert,1,2023.01.23 18:20:00,1674498000000,1927.812,2023.01.23 19:45:00,1674503100000,1927.225,0.01,1922.868,0.000,-0.58,0.00,0.00,-0.58,5100,0,1,351.81,0.0183,1.0000,0.0,0.0,1926.121,1,79.88,200.0,1.336
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,32,32,33,trend,1,trend_buy,trend_state_exit,expert,1,2023.01.23 20:45:00,1674506700000,1931.578,2023.01.24 00:00:00,1674518400000,1931.313,0.01,1927.610,0.000,-0.27,0.00,0.00,-0.27,11700,0,1,411.42,0.0213,1.0000,0.0,0.0,1930.226,1,65.58,200.0,1.073
smoke,eva028-CoreRiskV1,smoke,XAUUSD_HIST,M1,34,34,35,trend,1,trend_buy,sl,sl,1,2023.01.25 14:50:00,1674658200000,1932.486,2023.01.25 15:24:40,1674660280000,1930.837,0.01,1924.987,0.000,-1.65,0.00,0.00,-1.65,2080,0,1,582.01,0.0301,1.0000,0.0,0.0,1931.527,1,151.57,200.0,2.027
