run_tag,symbol,time,dir,entry,exit,vol,pnl,risk_money,atr_at_entry,exit_reason
BS75f,BTCUSDm,2025.06.02 03:12:40,1,0.00,104874.95,0.01,-6.96,6.97,464.35,sl
BS75f,BTCUSDm,2025.06.03 16:58:40,1,0.00,105903.37,0.01,-7.21,7.21,480.71,sl
BS75f,BTCUSDm,2025.06.08 22:37:40,1,0.00,105845.49,0.01,-4.56,4.56,303.82,sl
BS75f,BTCUSDm,2025.06.10 05:32:40,1,0.00,109219.43,0.01,24.97,6.10,406.91,sl
BS75f,BTCUSDm,2025.06.16 23:35:40,1,0.00,107292.24,0.01,7.52,7.05,470.23,sl
BS75f,BTCUSDm,2025.06.21 20:53:40,-1,0.00,102710.31,0.01,-5.49,5.49,366.18,sl
BS75f,BTCUSDm,2025.06.21 23:57:40,-1,0.00,102141.15,0.01,-7.58,7.58,505.10,sl
BS75f,BTCUSDm,2025.06.24 19:04:20,1,0.00,105416.10,0.01,-8.86,8.86,590.67,sl
BS75f,BTCUSDm,2025.06.29 01:00:00,1,106479.74,107499.90,0.01,10.20,8.65,576.82,time_exit
BS75f,BTCUSDm,2025.06.29 01:00:00,1,0.00,107499.90,0.01,9.40,8.65,576.82,time_exit
BS75f,BTCUSDm,2025.06.29 14:38:40,1,0.00,107897.19,0.03,-1.01,7.50,166.61,sl
BS75f,BTCUSDm,2025.06.30 06:36:40,1,0.00,108102.70,0.01,-6.20,6.21,413.69,sl
BS75f,BTCUSDm,2025.07.03 12:34:40,1,0.00,109332.06,0.01,-6.63,6.63,441.82,sl
BS75f,BTCUSDm,2025.07.07 11:21:20,1,0.00,108628.21,0.01,-6.20,6.19,412.86,sl
BS75f,BTCUSDm,2025.07.09 14:29:40,1,0.00,108943.95,0.01,-4.30,4.30,286.54,sl
BS75f,BTCUSDm,2025.07.11 00:27:40,1,0.00,115145.49,0.01,24.90,6.17,411.15,sl
BS75f,BTCUSDm,2025.07.13 22:10:40,1,0.00,118268.62,0.01,-1.25,4.60,306.88,sl
BS75f,BTCUSDm,2025.07.28 07:11:40,1,0.00,118914.24,0.02,4.99,7.69,256.24,sl
BS75f,BTCUSDm,2025.08.02 21:54:40,-1,0.00,113085.19,0.01,-7.54,7.54,502.52,sl
BS75f,BTCUSDm,2025.08.04 05:04:40,1,0.00,114402.07,0.01,-6.26,6.26,417.31,sl
BS75f,BTCUSDm,2025.08.07 16:46:40,1,0.00,115805.29,0.01,-6.19,6.19,412.50,sl
BS75f,BTCUSDm,2025.08.10 05:28:40,1,0.00,117913.16,0.01,-6.18,6.18,412.16,sl
BS75f,BTCUSDm,2025.08.11 11:18:40,1,0.00,120728.11,0.01,14.11,6.84,456.11,sl
BS75f,BTCUSDm,2025.08.20 08:32:40,-1,0.00,113915.66,0.01,-8.80,8.80,586.66,sl
BS75f,BTCUSDm,2025.08.24 18:14:40,-1,0.00,114697.46,0.01,-4.57,4.58,305.25,sl
BS75f,BTCUSDm,2025.08.29 12:30:40,-1,0.00,110837.42,0.01,-8.23,8.23,548.65,sl
BS75f,BTCUSDm,2025.09.04 22:23:40,-1,0.00,110623.07,0.01,-7.75,7.75,516.53,sl
BS75f,BTCUSDm,2025.09.11 09:46:40,1,0.00,113800.16,0.01,-6.38,6.38,425.03,sl
BS75f,BTCUSDm,2025.09.11 14:18:20,1,0.00,113970.31,0.01,-7.04,7.03,468.87,sl
BS75f,BTCUSDm,2025.09.12 20:20:00,1,116576.41,116230.01,0.01,-3.46,6.25,416.94,dd_kill
