run_tag,symbol,time,dir,entry,exit,vol,pnl,risk_money,atr_at_entry,exit_reason
BS75tr2,BTCUSDm,2018.04.07 01:41:40,-1,0.00,6847.80,0.03,0.04,4.67,103.80,sl
BS75tr2,BTCUSDm,2018.04.10 22:31:40,-1,0.00,6853.73,0.04,-4.82,4.82,80.37,sl
BS75tr2,BTCUSDm,2018.04.20 04:21:40,1,0.00,8243.25,0.09,-7.60,7.60,56.28,sl
BS75tr2,BTCUSDm,2018.04.21 09:45:40,1,0.00,8654.05,0.04,5.27,4.59,76.45,sl
BS75tr2,BTCUSDm,2018.04.25 03:56:40,1,0.00,9471.00,0.03,8.96,3.40,75.45,sl
BS75tr2,BTCUSDm,2018.04.29 08:52:40,1,0.00,9275.74,0.01,-1.61,1.61,107.34,sl
BS75tr2,BTCUSDm,2018.05.04 00:04:40,1,0.00,9481.23,0.04,6.81,4.98,82.97,sl
BS75tr2,BTCUSDm,2018.05.06 08:25:40,1,0.00,9509.07,0.02,-0.93,3.67,122.45,sl
BS75tr2,BTCUSDm,2018.05.12 09:54:00,-1,0.00,8457.08,0.03,-4.71,4.71,104.69,sl
BS75tr2,BTCUSDm,2018.05.16 10:15:40,-1,0.00,8293.96,0.01,-1.88,1.88,125.42,sl
BS75tr2,BTCUSDm,2018.05.18 18:49:40,-1,0.00,8170.78,0.05,-5.76,5.76,76.85,sl
BS75tr2,BTCUSDm,2018.05.23 20:09:40,-1,0.00,7628.85,0.09,53.50,7.67,56.84,sl
BS75tr2,BTCUSDm,2018.05.24 14:35:40,-1,0.00,7546.33,0.02,-3.18,3.18,105.86,sl
BS75tr2,BTCUSDm,2018.05.27 18:04:40,-1,0.00,7377.31,0.07,-5.76,5.76,54.86,sl
BS75tr2,BTCUSDm,2018.05.28 12:38:40,-1,0.00,7265.52,0.04,-3.88,3.88,64.66,sl
BS75tr2,BTCUSDm,2018.06.05 15:59:40,-1,0.00,7515.55,0.07,-1.12,5.82,55.45,sl
BS75tr2,BTCUSDm,2018.06.10 19:32:40,-1,0.00,6774.93,0.09,64.59,5.00,37.06,sl
BS75tr2,BTCUSDm,2018.06.13 05:00:40,-1,0.00,6591.26,0.06,-5.39,5.39,59.89,sl
BS75tr2,BTCUSDm,2018.06.13 12:20:20,-1,0.00,6480.49,0.05,-4.14,4.14,55.27,sl
BS75tr2,BTCUSDm,2018.06.14 02:07:40,-1,0.00,6390.67,0.02,-2.39,2.39,79.72,sl
BS75tr2,BTCUSDm,2018.06.22 18:53:40,-1,0.00,6220.52,0.09,25.60,5.66,41.94,sl
