run_tag,symbol,time,dir,entry,exit,vol,pnl,risk_money,atr_at_entry,exit_reason
BS75va2,BTCUSDm,2024.06.03 14:47:40,1,0.00,68917.70,0.01,-1.17,5.57,371.33,sl
BS75va2,BTCUSDm,2024.06.07 14:48:00,1,69020.30,71380.98,0.01,23.61,6.98,465.57,time_exit
BS75va2,BTCUSDm,2024.06.07 14:48:00,1,0.00,71380.98,0.01,22.97,6.98,465.57,time_exit
BS75va2,BTCUSDm,2024.06.10 19:06:40,1,0.00,69650.77,0.02,-8.27,8.28,275.86,sl
BS75va2,BTCUSDm,2024.06.14 20:29:40,-1,0.00,65891.95,0.01,-6.63,6.63,442.06,sl
BS75va2,BTCUSDm,2024.06.17 17:02:40,-1,0.00,66128.10,0.01,-4.83,4.83,322.19,sl
BS75va2,BTCUSDm,2024.06.24 21:23:40,-1,0.00,59804.01,0.01,46.63,5.03,335.46,sl
BS75va2,BTCUSDm,2024.06.29 00:29:40,-1,0.00,60631.54,0.01,-6.20,6.20,413.27,sl
BS75va2,BTCUSDm,2024.07.04 15:53:40,-1,0.00,58115.08,0.01,34.52,5.88,391.86,sl
BS75va2,BTCUSDm,2024.07.05 15:05:40,-1,0.00,56378.52,0.01,-5.97,10.81,720.68,sl
BS75va2,BTCUSDm,2024.07.08 08:03:40,-1,0.00,56004.65,0.01,-1.19,7.09,472.47,sl
BS75va2,BTCUSDm,2024.07.12 13:19:00,-1,0.00,57846.27,0.01,-8.82,8.82,588.18,sl
BS75va2,BTCUSDm,2024.07.16 05:28:40,1,0.00,63937.21,0.01,-8.50,8.50,566.78,sl
BS75va2,BTCUSDm,2024.07.17 13:32:40,1,0.00,64555.99,0.01,-10.17,10.17,677.90,sl
BS75va2,BTCUSDm,2024.07.21 18:11:40,1,0.00,65893.98,0.01,1.10,7.79,519.63,sl
BS75va2,BTCUSDm,2024.07.26 14:26:20,1,0.00,67264.95,0.01,-6.47,6.47,431.13,sl
BS75va2,BTCUSDm,2024.07.27 17:27:20,1,0.00,68450.65,0.01,-0.14,3.88,258.62,sl
BS75va2,BTCUSDm,2024.07.29 14:03:40,1,0.00,68938.82,0.01,-6.44,6.45,429.72,sl
BS75va2,BTCUSDm,2024.08.03 21:46:40,-1,0.00,60764.92,0.01,-6.10,6.09,406.33,sl
BS75va2,BTCUSDm,2024.08.04 18:51:40,-1,0.00,58827.34,0.01,6.97,6.63,441.88,sl
