month,requested_from,requested_to,JPY_M30_bars,XAU_M30_bars,exact_intersection,info_availability_ratio,common_session_alignment_ratio,jpy_dup_ts,xau_dup_ts,jpy_non_monotonic,xau_non_monotonic,first_jpy,last_jpy,first_xau,last_xau,counted_outside_requested_month,server_utc_offset
201801,2018.01.01,2018.02.01,1,1,1,100.0000,100.0000,0,0,0,0,2018.01.02 06:00,2018.01.02 06:00,2018.01.02 06:00,2018.01.02 06:00,0,0
201802,2018.02.01,2018.03.01,1,0,0,0.0000,0.0000,0,0,0,0,2018.02.02 12:30,2018.02.02 12:30,,,0,0
201803,2018.03.01,2018.04.01,1,1,1,100.0000,100.0000,0,0,0,0,2018.03.01 00:00,2018.03.01 00:00,2018.03.01 00:00,2018.03.01 00:00,0,0
201804,2018.04.01,2018.05.01,1,0,0,0.0000,0.0000,0,0,0,0,2018.04.01 21:00,2018.04.01 21:00,,,0,0
201805,2018.05.01,2018.06.01,1,1,1,100.0000,100.0000,0,0,0,0,2018.05.01 00:00,2018.05.01 00:00,2018.05.01 00:00,2018.05.01 00:00,0,0
201806,2018.06.01,2018.07.01,1,1,1,100.0000,100.0000,0,0,0,0,2018.06.01 00:00,2018.06.01 00:00,2018.06.01 00:00,2018.06.01 00:00,0,0
201807,2018.07.01,2018.08.01,1,1,0,0.0000,0.0000,0,0,0,0,2018.07.01 21:00,2018.07.01 21:00,2018.07.01 00:00,2018.07.01 00:00,0,0
201808,2018.08.01,2018.09.01,1,1,1,100.0000,100.0000,0,0,0,0,2018.08.01 00:00,2018.08.01 00:00,2018.08.01 00:00,2018.08.01 00:00,0,0
201809,2018.09.01,2018.10.01,1,1,1,100.0000,100.0000,0,0,0,0,2018.09.02 00:00,2018.09.02 00:00,2018.09.02 00:00,2018.09.02 00:00,0,0
201810,2018.10.01,2018.11.01,1,1,1,100.0000,100.0000,0,0,0,0,2018.10.01 00:00,2018.10.01 00:00,2018.10.01 00:00,2018.10.01 00:00,0,0
201811,2018.11.01,2018.12.01,1,1,1,100.0000,100.0000,0,0,0,0,2018.11.01 00:00,2018.11.01 00:00,2018.11.01 00:00,2018.11.01 00:00,0,0
201812,2018.12.01,2019.01.01,1,1,1,100.0000,100.0000,0,0,0,0,2018.12.02 00:00,2018.12.02 00:00,2018.12.02 00:00,2018.12.02 00:00,0,0
201901,2019.01.01,2019.02.01,1,1,1,100.0000,100.0000,0,0,0,0,2019.01.02 00:00,2019.01.02 00:00,2019.01.02 00:00,2019.01.02 00:00,0,0
201902,2019.02.01,2019.03.01,1,1,1,100.0000,100.0000,0,0,0,0,2019.02.01 00:00,2019.02.01 00:00,2019.02.01 00:00,2019.02.01 00:00,0,0
201903,2019.03.01,2019.04.01,1,1,1,100.0000,100.0000,0,0,0,0,2019.03.01 00:00,2019.03.01 00:00,2019.03.01 00:00,2019.03.01 00:00,0,0
201904,2019.04.01,2019.05.01,1,1,1,100.0000,100.0000,0,0,0,0,2019.04.01 00:00,2019.04.01 00:00,2019.04.01 00:00,2019.04.01 00:00,0,0
201905,2019.05.01,2019.06.01,1,1,1,100.0000,100.0000,0,0,0,0,2019.05.01 00:00,2019.05.01 00:00,2019.05.01 00:00,2019.05.01 00:00,0,0
201906,2019.06.01,2019.07.01,1,1,1,100.0000,100.0000,0,0,0,0,2019.06.02 00:00,2019.06.02 00:00,2019.06.02 00:00,2019.06.02 00:00,0,0
201907,2019.07.01,2019.08.01,1,1,1,100.0000,100.0000,0,0,0,0,2019.07.01 00:00,2019.07.01 00:00,2019.07.01 00:00,2019.07.01 00:00,0,0
201908,2019.08.01,2019.09.01,1,1,1,100.0000,100.0000,0,0,0,0,2019.08.01 00:00,2019.08.01 00:00,2019.08.01 00:00,2019.08.01 00:00,0,0
201909,2019.09.01,2019.10.01,1,1,1,100.0000,100.0000,0,0,0,0,2019.09.01 00:00,2019.09.01 00:00,2019.09.01 00:00,2019.09.01 00:00,0,0
201910,2019.10.01,2019.11.01,1,1,1,100.0000,100.0000,0,0,0,0,2019.10.01 00:00,2019.10.01 00:00,2019.10.01 00:00,2019.10.01 00:00,0,0
201911,2019.11.01,2019.12.01,1,1,1,100.0000,100.0000,0,0,0,0,2019.11.01 00:00,2019.11.01 00:00,2019.11.01 00:00,2019.11.01 00:00,0,0
201912,2019.12.01,2020.01.01,1,1,1,100.0000,100.0000,0,0,0,0,2019.12.01 00:00,2019.12.01 00:00,2019.12.01 00:00,2019.12.01 00:00,0,0
202001,2020.01.01,2020.02.01,1,1,1,100.0000,100.0000,0,0,0,0,2020.01.02 00:00,2020.01.02 00:00,2020.01.02 00:00,2020.01.02 00:00,0,0
202002,2020.02.01,2020.03.01,1,1,1,100.0000,100.0000,0,0,0,0,2020.02.02 00:00,2020.02.02 00:00,2020.02.02 00:00,2020.02.02 00:00,0,0
202003,2020.03.01,2020.04.01,1,1,1,100.0000,100.0000,0,0,0,0,2020.03.01 00:00,2020.03.01 00:00,2020.03.01 00:00,2020.03.01 00:00,0,0
202004,2020.04.01,2020.05.01,1,1,1,100.0000,100.0000,0,0,0,0,2020.04.01 00:00,2020.04.01 00:00,2020.04.01 00:00,2020.04.01 00:00,0,0
202005,2020.05.01,2020.06.01,1,1,1,100.0000,100.0000,0,0,0,0,2020.05.01 00:00,2020.05.01 00:00,2020.05.01 00:00,2020.05.01 00:00,0,0
202006,2020.06.01,2020.07.01,1,1,1,100.0000,100.0000,0,0,0,0,2020.06.01 00:00,2020.06.01 00:00,2020.06.01 00:00,2020.06.01 00:00,0,0
202007,2020.07.01,2020.08.01,1,1,1,100.0000,100.0000,0,0,0,0,2020.07.01 00:00,2020.07.01 00:00,2020.07.01 00:00,2020.07.01 00:00,0,0
202008,2020.08.01,2020.09.01,1,1,1,100.0000,100.0000,0,0,0,0,2020.08.02 00:00,2020.08.02 00:00,2020.08.02 00:00,2020.08.02 00:00,0,0
202009,2020.09.01,2020.10.01,1,1,1,100.0000,100.0000,0,0,0,0,2020.09.01 00:00,2020.09.01 00:00,2020.09.01 00:00,2020.09.01 00:00,0,0
202010,2020.10.01,2020.11.01,1,1,1,100.0000,100.0000,0,0,0,0,2020.10.01 00:00,2020.10.01 00:00,2020.10.01 00:00,2020.10.01 00:00,0,0
202011,2020.11.01,2020.12.01,1,1,1,100.0000,100.0000,0,0,0,0,2020.11.01 00:00,2020.11.01 00:00,2020.11.01 00:00,2020.11.01 00:00,0,0
202012,2020.12.01,2021.01.01,1,1,1,100.0000,100.0000,0,0,0,0,2020.12.01 00:00,2020.12.01 00:00,2020.12.01 00:00,2020.12.01 00:00,0,0
202101,2021.01.01,2021.02.01,1,1,1,100.0000,100.0000,0,0,0,0,2021.01.03 00:00,2021.01.03 00:00,2021.01.03 00:00,2021.01.03 00:00,0,0
202102,2021.02.01,2021.03.01,1,1,1,100.0000,100.0000,0,0,0,0,2021.02.01 00:00,2021.02.01 00:00,2021.02.01 00:00,2021.02.01 00:00,0,0
202103,2021.03.01,2021.04.01,1,1,1,100.0000,100.0000,0,0,0,0,2021.03.01 00:00,2021.03.01 00:00,2021.03.01 00:00,2021.03.01 00:00,0,0
202104,2021.04.01,2021.05.01,1,1,1,100.0000,100.0000,0,0,0,0,2021.04.01 00:00,2021.04.01 00:00,2021.04.01 00:00,2021.04.01 00:00,0,0
202105,2021.05.01,2021.06.01,1,1,1,100.0000,100.0000,0,0,0,0,2021.05.02 00:00,2021.05.02 00:00,2021.05.02 00:00,2021.05.02 00:00,0,0
202106,2021.06.01,2021.07.01,1,1,1,100.0000,100.0000,0,0,0,0,2021.06.01 00:00,2021.06.01 00:00,2021.06.01 00:00,2021.06.01 00:00,0,0
202107,2021.07.01,2021.08.01,1,1,1,100.0000,100.0000,0,0,0,0,2021.07.01 00:00,2021.07.01 00:00,2021.07.01 00:00,2021.07.01 00:00,0,0
202108,2021.08.01,2021.09.01,1,1,1,100.0000,100.0000,0,0,0,0,2021.08.01 00:00,2021.08.01 00:00,2021.08.01 00:00,2021.08.01 00:00,0,0
202109,2021.09.01,2021.10.01,1,1,1,100.0000,100.0000,0,0,0,0,2021.09.01 00:00,2021.09.01 00:00,2021.09.01 00:00,2021.09.01 00:00,0,0
202110,2021.10.01,2021.11.01,1,1,1,100.0000,100.0000,0,0,0,0,2021.10.01 00:00,2021.10.01 00:00,2021.10.01 00:00,2021.10.01 00:00,0,0
202111,2021.11.01,2021.12.01,1,1,1,100.0000,100.0000,0,0,0,0,2021.11.01 00:00,2021.11.01 00:00,2021.11.01 00:00,2021.11.01 00:00,0,0
202112,2021.12.01,2022.01.01,1,1,1,100.0000,100.0000,0,0,0,0,2021.12.01 00:00,2021.12.01 00:00,2021.12.01 00:00,2021.12.01 00:00,0,0
202201,2022.01.01,2022.02.01,1,0,0,0.0000,0.0000,0,0,0,0,2022.01.02 22:00,2022.01.02 22:00,,,0,0
202202,2022.02.01,2022.03.01,1,1,1,100.0000,100.0000,0,0,0,0,2022.02.01 00:00,2022.02.01 00:00,2022.02.01 00:00,2022.02.01 00:00,0,0
202203,2022.03.01,2022.04.01,1,1,1,100.0000,100.0000,0,0,0,0,2022.03.01 00:00,2022.03.01 00:00,2022.03.01 00:00,2022.03.01 00:00,0,0
202204,2022.04.01,2022.05.01,1,1,1,100.0000,100.0000,0,0,0,0,2022.04.01 00:00,2022.04.01 00:00,2022.04.01 00:00,2022.04.01 00:00,0,0
202205,2022.05.01,2022.06.01,1,0,0,0.0000,0.0000,0,0,0,0,2022.05.01 21:00,2022.05.01 21:00,,,0,0
202206,2022.06.01,2022.07.01,1,1,1,100.0000,100.0000,0,0,0,0,2022.06.01 00:00,2022.06.01 00:00,2022.06.01 00:00,2022.06.01 00:00,0,0
202207,2022.07.01,2022.08.01,1,1,1,100.0000,100.0000,0,0,0,0,2022.07.01 00:00,2022.07.01 00:00,2022.07.01 00:00,2022.07.01 00:00,0,0
202208,2022.08.01,2022.09.01,1,1,1,100.0000,100.0000,0,0,0,0,2022.08.01 00:00,2022.08.01 00:00,2022.08.01 00:00,2022.08.01 00:00,0,0
202209,2022.09.01,2022.10.01,1,1,1,100.0000,100.0000,0,0,0,0,2022.09.01 00:00,2022.09.01 00:00,2022.09.01 00:00,2022.09.01 00:00,0,0
202210,2022.10.01,2022.11.01,1,0,0,0.0000,0.0000,0,0,0,0,2022.10.02 21:00,2022.10.02 21:00,,,0,0
202211,2022.11.01,2022.12.01,1,1,1,100.0000,100.0000,0,0,0,0,2022.11.01 00:00,2022.11.01 00:00,2022.11.01 00:00,2022.11.01 00:00,0,0
202212,2022.12.01,2023.01.01,1,1,1,100.0000,100.0000,0,0,0,0,2022.12.01 00:00,2022.12.01 00:00,2022.12.01 00:00,2022.12.01 00:00,0,0
202301,2023.01.01,2023.02.01,1,0,0,0.0000,0.0000,0,0,0,0,2023.01.01 22:00,2023.01.01 22:00,,,0,0
202302,2023.02.01,2023.03.01,1,1,1,100.0000,100.0000,0,0,0,0,2023.02.01 00:00,2023.02.01 00:00,2023.02.01 00:00,2023.02.01 00:00,0,0
202303,2023.03.01,2023.04.01,1,1,1,100.0000,100.0000,0,0,0,0,2023.03.01 00:00,2023.03.01 00:00,2023.03.01 00:00,2023.03.01 00:00,0,0
202304,2023.04.01,2023.05.01,1,0,0,0.0000,0.0000,0,0,0,0,2023.04.02 21:00,2023.04.02 21:00,,,0,0
202305,2023.05.01,2023.06.01,1,1,1,100.0000,100.0000,0,0,0,0,2023.05.01 00:00,2023.05.01 00:00,2023.05.01 00:00,2023.05.01 00:00,0,0
202306,2023.06.01,2023.07.01,1,1,1,100.0000,100.0000,0,0,0,0,2023.06.01 00:00,2023.06.01 00:00,2023.06.01 00:00,2023.06.01 00:00,0,0
202307,2023.07.01,2023.08.01,1,0,0,0.0000,0.0000,0,0,0,0,2023.07.02 21:00,2023.07.02 21:00,,,0,0
202308,2023.08.01,2023.09.01,1,1,1,100.0000,100.0000,0,0,0,0,2023.08.01 00:00,2023.08.01 00:00,2023.08.01 00:00,2023.08.01 00:00,0,0
202309,2023.09.01,2023.10.01,1,1,1,100.0000,100.0000,0,0,0,0,2023.09.01 00:00,2023.09.01 00:00,2023.09.01 00:00,2023.09.01 00:00,0,0
202310,2023.10.01,2023.11.01,1,0,0,0.0000,0.0000,0,0,0,0,2023.10.01 21:00,2023.10.01 21:00,,,0,0
202311,2023.11.01,2023.12.01,1,1,1,100.0000,100.0000,0,0,0,0,2023.11.01 00:00,2023.11.01 00:00,2023.11.01 00:00,2023.11.01 00:00,0,0
202312,2023.12.01,2024.01.01,1,1,1,100.0000,100.0000,0,0,0,0,2023.12.01 00:00,2023.12.01 00:00,2023.12.01 00:00,2023.12.01 00:00,0,0
202401,2024.01.01,2024.02.01,1,0,0,0.0000,0.0000,0,0,0,0,2024.01.01 22:00,2024.01.01 22:00,,,0,0
202402,2024.02.01,2024.03.01,1,1,1,100.0000,100.0000,0,0,0,0,2024.02.01 00:00,2024.02.01 00:00,2024.02.01 00:00,2024.02.01 00:00,0,0
202403,2024.03.01,2024.04.01,1,1,1,100.0000,100.0000,0,0,0,0,2024.03.01 00:00,2024.03.01 00:00,2024.03.01 00:00,2024.03.01 00:00,0,0
202404,2024.04.01,2024.05.01,1,1,1,100.0000,100.0000,0,0,0,0,2024.04.01 00:00,2024.04.01 00:00,2024.04.01 00:00,2024.04.01 00:00,0,0
202405,2024.05.01,2024.06.01,1,1,1,100.0000,100.0000,0,0,0,0,2024.05.01 00:00,2024.05.01 00:00,2024.05.01 00:00,2024.05.01 00:00,0,0
