month,requested_from,requested_to,parser_valid,parser_invalid_reason,probe_valid,invalid_reason,finalization_event,JPY_M30_bars,XAU_M30_bars,exact_intersection,info_availability_ratio,common_session_alignment_ratio,GateA_status,GateB_status,jpy_dup,xau_dup,jpy_non_monotonic,xau_non_monotonic,outside_requested_month,methodA_jpy_count,methodB_jpy_count,methodA_xau_count,methodB_xau_count,methodA_methodB_jpy_equal,methodA_methodB_xau_equal,journal_jpy_bars,journal_minus_filtered,first_jpy,last_jpy,first_xau,last_xau,journal_reconciliation,month_engineering_status,month_data_status,month_pass,tester_log_path,check_failures
2018-01,2018.01.01,2018.02.01,1,,1,,OnTester,1021,972,972,95.2008,100.0000,PASS,PASS,0,0,0,0,0,1021,1021,972,972,1,1,1021,0,2018.01.02 06:00,2018.01.31 14:00,2018.01.02 06:00,2018.01.31 14:00,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2018-02,2018.02.01,2018.03.01,1,,1,,OnTester,895,845,843,94.1899,99.7633,PASS,PASS,0,0,0,0,0,895,895,845,845,1,1,895,0,2018.02.02 12:30,2018.02.28 23:30,2018.02.02 12:30,2018.02.28 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2018-03,2018.03.01,2018.04.01,1,,1,,OnTester,1054,959,959,90.9867,100.0000,PASS,PASS,0,0,0,0,0,1054,1054,959,959,1,1,1054,0,2018.03.01 00:00,2018.03.30 20:30,2018.03.01 00:00,2018.03.30 00:00,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2018-04,2018.04.01,2018.05.01,1,,1,,OnTester,1014,960,960,94.6746,100.0000,PASS,PASS,0,0,0,0,0,1014,1014,960,960,1,1,1014,0,2018.04.01 21:00,2018.04.30 23:30,2018.04.01 23:00,2018.04.30 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2018-05,2018.05.01,2018.06.01,1,,1,,OnTester,1104,1043,1043,94.4746,100.0000,PASS,PASS,0,0,0,0,0,1104,1104,1043,1043,1,1,1104,0,2018.05.01 00:00,2018.05.31 23:30,2018.05.01 00:00,2018.05.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2018-06,2018.06.01,2018.07.01,1,,1,,OnTester,1002,954,954,95.2096,100.0000,PASS,PASS,0,0,0,0,0,1002,1002,954,954,1,1,1002,0,2018.06.01 00:00,2018.06.29 20:30,2018.06.01 00:00,2018.06.29 20:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2018-07,2018.07.01,2018.08.01,1,,1,,OnTester,1066,1004,1003,94.0901,99.9004,PASS,PASS,0,0,0,0,0,1066,1066,1004,1004,1,1,1066,0,2018.07.01 21:00,2018.07.31 23:30,2018.07.01 00:00,2018.07.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2018-08,2018.08.01,2018.09.01,1,,1,,OnTester,1094,1042,1042,95.2468,100.0000,PASS,PASS,0,0,0,0,0,1094,1094,1042,1042,1,1,1094,0,2018.08.01 00:00,2018.08.31 20:30,2018.08.01 00:00,2018.08.31 20:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2018-09,2018.09.01,2018.10.01,1,,1,,OnTester,965,910,906,93.8860,99.5604,PASS,PASS,0,0,0,0,0,965,965,910,910,1,1,965,0,2018.09.02 00:00,2018.09.30 23:30,2018.09.02 00:00,2018.09.30 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2018-10,2018.10.01,2018.11.01,1,,1,,OnTester,1108,1056,1056,95.3069,100.0000,PASS,PASS,0,0,0,0,0,1108,1108,1056,1056,1,1,1108,0,2018.10.01 00:00,2018.10.31 23:30,2018.10.01 00:00,2018.10.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
