utc_date,trade_count,start_of_day_balance,daily_net,daily_return_pct,end_of_day_balance
2018-01-02,1,500.0,-7.28,-1.456,492.72
2018-01-04,1,492.72,5.65,1.1466958922,498.37
2018-01-05,1,498.37,-7.23,-1.4507293778,491.14
2018-01-11,1,491.14,5.6,1.1402044224,496.74
2018-01-12,1,496.74,-7.06,-1.4212666586,489.68
2018-01-15,1,489.68,-7.16,-1.4621793825,482.52
2018-01-16,1,482.52,5.56,1.1522838432,488.08
2018-01-18,1,488.08,5.6,1.147352893,493.68
2018-01-19,1,493.68,-7.21,-1.4604602171,486.47
2018-01-22,1,486.47,5.76,1.1840401258,492.23
2018-01-23,1,492.23,5.92,1.2026897995,498.15
2018-01-24,1,498.15,-7.35,-1.475459199,490.8
2018-01-25,1,490.8,-6.9,-1.4058679707,483.9
2018-01-29,1,483.9,5.67,1.1717296962,489.57
2018-01-30,1,489.57,5.15,1.0519435423,494.72
2018-02-02,1,494.72,-10.04,-2.0294307891,484.68
2018-02-07,1,484.68,-7.2,-1.4855162169,477.48
2018-02-08,1,477.48,-6.83,-1.4304264053,470.65
2018-02-09,1,470.65,-6.49,-1.3789440136,464.16
2018-02-13,1,464.16,-6.45,-1.3896070321,457.71
2018-02-14,1,457.71,5.32,1.1623080116,463.03
2018-02-15,1,463.03,4.94,1.066885515,467.97
2018-02-16,1,467.97,5.41,1.1560570122,473.38
2018-02-19,1,473.38,5.07,1.0710211669,478.45
2018-02-20,1,478.45,5.23,1.093113178,483.68
2018-02-21,1,483.68,5.2,1.0750909692,488.88
2018-02-22,1,488.88,-7.37,-1.5075274096,481.51
2018-02-23,1,481.51,5.71,1.1858528379,487.22
2018-02-26,1,487.22,-7.14,-1.465457083,480.08
2018-02-27,1,480.08,5.69,1.1852191301,485.77
2018-02-28,1,485.77,-6.29,-1.2948514729,479.48
2018-03-02,2,479.48,-1.28,-0.2669558689,478.2
2018-03-05,1,478.2,-6.67,-1.3948138854,471.53
2018-03-06,1,471.53,5.54,1.1748987339,477.07
2018-03-08,1,477.07,5.54,1.1612551617,482.61
2018-03-09,1,482.61,4.97,1.0298170365,487.58
2018-03-12,1,487.58,5.64,1.156733254,493.22
2018-03-13,1,493.22,-7.33,-1.4861522242,485.89
2018-03-14,1,485.89,-6.73,-1.3850871596,479.16
2018-03-15,1,479.16,5.66,1.1812338259,484.82
2018-03-16,1,484.82,-6.69,-1.3798935687,478.13
2018-03-19,1,478.13,5.27,1.1022106958,483.4
2018-03-20,1,483.4,-6.38,-1.3198179561,477.02
2018-03-22,1,477.02,5.61,1.1760513186,482.63
2018-03-23,1,482.63,5.77,1.1955328098,488.4
2018-03-26,1,488.4,-6.83,-1.3984438984,481.57
2018-03-27,1,481.57,-6.35,-1.3186037336,475.22
2018-03-28,1,475.22,-7.0,-1.473001978,468.22
2018-03-29,1,468.22,4.97,1.0614668318,473.19
2018-04-02,1,473.19,5.5,1.1623238023,478.69
2018-04-03,1,478.69,5.72,1.1949278239,484.41
2018-04-04,1,484.41,5.18,1.0693420862,489.59
2018-04-05,1,489.59,5.17,1.0559856206,494.76
2018-04-09,1,494.76,-7.09,-1.4330180289,487.67
2018-04-10,1,487.67,5.81,1.1913794164,493.48
2018-04-11,1,493.48,-6.67,-1.3516251925,486.81
2018-04-12,1,486.81,5.54,1.1380209938,492.35
2018-04-13,1,492.35,5.69,1.1556819336,498.04
2018-04-16,1,498.04,-6.9,-1.3854308891,491.14
2018-04-19,1,491.14,5.63,1.1463126603,496.77
2018-04-20,1,496.77,5.6,1.1272822433,502.37
2018-04-22,1,502.37,-7.04,-1.4013575651,495.33
2018-04-23,1,495.33,-7.27,-1.4677083964,488.06
2018-04-24,1,488.06,5.46,1.1187149121,493.52
2018-04-25,1,493.52,-7.34,-1.4872750851,486.18
2018-04-26,1,486.18,-6.94,-1.4274548521,479.24
2018-04-27,1,479.24,5.74,1.1977297388,484.98
2018-05-01,1,484.98,-7.22,-1.4887211844,477.76
2018-05-02,1,477.76,5.31,1.1114367046,483.07
2018-05-03,1,483.07,-7.21,-1.4925373134,475.86
2018-05-04,1,475.86,5.64,1.1852225444,481.5
2018-05-07,1,481.5,-6.5,-1.3499480789,475.0
2018-05-08,1,475.0,5.41,1.1389473684,480.41
2018-05-09,1,480.41,-6.58,-1.3696634125,473.83
2018-05-10,1,473.83,5.49,1.1586433953,479.32
2018-05-11,1,479.32,-6.92,-1.4437119252,472.4
2018-05-14,1,472.4,5.18,1.0965283658,477.58
2018-05-15,1,477.58,-6.64,-1.3903429792,470.94
2018-05-16,1,470.94,-6.77,-1.4375504311,464.17
2018-05-17,1,464.17,-6.25,-1.3464894328,457.92
2018-05-18,1,457.92,-6.24,-1.3626834382,451.68
2018-05-21,1,451.68,5.41,1.1977506199,457.09
2018-05-22,1,457.09,5.34,1.1682600801,462.43
2018-05-24,1,462.43,-6.61,-1.4294055316,455.82
2018-05-29,1,455.82,4.81,1.0552411039,460.63
2018-05-31,1,460.63,5.52,1.1983587695,466.15
2018-06-01,1,466.15,-6.16,-1.3214630484,459.99
2018-06-04,1,459.99,-6.12,-1.3304637057,453.87
2018-06-06,1,453.87,5.09,1.1214664992,458.96
2018-06-07,1,458.96,5.36,1.1678577654,464.32
2018-06-08,1,464.32,-6.58,-1.4171261199,457.74
2018-06-11,1,457.74,-6.3,-1.3763271726,451.44
2018-06-12,1,451.44,-6.44,-1.4265461634,445.0
2018-06-14,1,445.0,-6.55,-1.4719101124,438.45
2018-06-19,1,438.45,-6.21,-1.4163530619,432.24
2018-06-21,2,432.24,-15.12,-3.4980566352,417.12
2018-06-25,1,417.12,-5.6,-1.3425393172,411.52
2018-06-26,1,411.52,-6.05,-1.470159409,405.47
2018-06-28,1,405.47,4.67,1.1517498212,410.14
2018-06-29,1,410.14,4.87,1.1873994246,415.01
2018-07-02,1,415.01,4.55,1.0963591239,419.56
2018-07-03,1,419.56,-5.67,-1.3514157689,413.89
2018-07-05,1,413.89,4.63,1.118654715,418.52
2018-07-06,1,418.52,4.43,1.0584918283,422.95
2018-07-09,1,422.95,-5.84,-1.3807778697,417.11
2018-07-10,1,417.11,-5.84,-1.4001102827,411.27
2018-07-12,1,411.27,-5.43,-1.3203005325,405.84
2018-07-13,1,405.84,-5.85,-1.4414547605,399.99
2018-07-16,1,399.99,4.48,1.1200280007,404.47
2018-07-17,1,404.47,-6.02,-1.4883674933,398.45
2018-07-18,1,398.45,4.52,1.1343957837,402.97
2018-07-19,1,402.97,4.39,1.0894111224,407.36
2018-07-23,1,407.36,4.85,1.1905930872,412.21
2018-07-24,1,412.21,4.35,1.0552873535,416.56
2018-07-25,1,416.56,-6.13,-1.4715767236,410.43
2018-07-26,1,410.43,-5.37,-1.3083838901,405.06
2018-07-31,1,405.06,1.02,0.251814546,406.08
2018-08-01,1,406.08,-5.62,-1.383963751,400.46
2018-08-02,1,400.46,-5.39,-1.345952155,395.07
2018-08-03,1,395.07,4.58,1.1592882274,399.65
2018-08-07,1,399.65,4.68,1.1710246466,404.33
2018-08-08,1,404.33,4.78,1.1822026562,409.11
2018-08-09,1,409.11,-5.96,-1.4568209039,403.15
2018-08-14,1,403.15,4.48,1.1112489148,407.63
2018-08-15,1,407.63,4.85,1.1898044796,412.48
2018-08-17,1,412.48,-6.08,-1.4740108611,406.4
2018-08-20,1,406.4,4.71,1.1589566929,411.11
2018-08-21,1,411.11,4.71,1.1456787721,415.82
2018-08-22,1,415.82,4.67,1.1230821028,420.49
2018-08-23,1,420.49,-6.25,-1.4863611501,414.24
2018-08-24,1,414.24,-5.97,-1.441193511,408.27
2018-08-27,1,408.27,4.41,1.0801675362,412.68
2018-08-28,1,412.68,4.76,1.1534360764,417.44
2018-08-29,1,417.44,-6.22,-1.490034496,411.22
2018-08-30,1,411.22,4.47,1.0870093867,415.69
2018-08-31,1,415.69,4.97,1.1956024922,420.66
2018-09-04,1,420.66,-6.1,-1.4501022203,414.56
2018-09-05,1,414.56,-6.0,-1.447317638,408.56
2018-09-06,1,408.56,-6.14,-1.5028392403,402.42
2018-09-07,1,402.42,4.49,1.1157497142,406.91
2018-09-10,1,406.91,-5.66,-1.3909709764,401.25
2018-09-11,1,401.25,-5.38,-1.3408099688,395.87
2018-09-14,1,395.87,-5.18,-1.3085103696,390.69
2018-09-17,1,390.69,4.64,1.1876423763,395.33
2018-09-18,1,395.33,4.65,1.1762325146,399.98
2018-09-19,1,399.98,4.33,1.0825541277,404.31
2018-09-20,1,404.31,4.49,1.1105339962,408.8
2018-09-21,1,408.8,-5.68,-1.3894324853,403.12
2018-09-24,1,403.12,-5.46,-1.3544354038,397.66
2018-09-25,1,397.66,4.58,1.1517376653,402.24
2018-09-26,1,402.24,-5.84,-1.4518695306,396.4
2018-09-27,1,396.4,4.4,1.1099899092,400.8
2018-09-28,1,400.8,4.46,1.1127744511,405.26
2018-10-01,1,405.26,4.43,1.093125401,409.69
2018-10-02,1,409.69,-5.84,-1.4254680368,403.85
2018-10-03,1,403.85,-5.62,-1.3916057942,398.23
2018-10-04,1,398.23,4.27,1.0722446827,402.5
2018-10-08,1,402.5,-5.73,-1.4236024845,396.77
2018-10-10,1,396.77,4.46,1.1240769211,401.23
2018-10-12,1,401.23,-5.69,-1.4181392219,395.54
2018-10-15,1,395.54,4.56,1.1528543257,400.1
2018-10-16,1,400.1,4.68,1.1697075731,404.78
2018-10-17,1,404.78,4.3,1.0623054499,409.08
2018-10-18,1,409.08,-5.82,-1.4227046055,403.26
2018-10-22,1,403.26,-5.68,-1.4085205575,397.58
2018-10-23,1,397.58,-5.68,-1.4286432919,391.9
2018-10-24,1,391.9,-4.91,-1.2528706303,386.99
2018-10-26,1,386.99,4.06,1.0491227163,391.05
2018-10-29,1,391.05,-5.39,-1.3783403657,385.66
2018-10-30,1,385.66,4.29,1.1123787792,389.95
2018-10-31,1,389.95,-5.37,-1.3770996282,384.58
2018-11-01,1,384.58,4.34,1.1285038224,388.92
2018-11-02,1,388.92,-5.2,-1.3370358943,383.72
2018-11-08,2,383.72,-2.99,-0.7792140102,380.73
2018-11-09,1,380.73,4.14,1.0873847609,384.87
2018-11-15,1,384.87,4.3,1.1172603736,389.17
2018-11-16,1,389.17,-5.74,-1.4749338335,383.43
2018-11-19,1,383.43,3.99,1.0406071512,387.42
2018-11-20,1,387.42,4.41,1.1382995199,391.83
2018-11-21,1,391.83,-5.24,-1.3373146518,386.59
2018-11-23,1,386.59,-5.68,-1.4692568354,380.91
2018-11-26,1,380.91,-5.56,-1.4596623874,375.35
2018-11-27,1,375.35,-5.63,-1.4999333955,369.72
2018-11-28,1,369.72,-5.11,-1.382127015,364.61
2018-11-29,1,364.61,-5.12,-1.404240147,359.49
2018-11-30,1,359.49,-5.33,-1.4826559849,354.16
2018-12-04,1,354.16,-5.08,-1.4343799413,349.08
2018-12-06,1,349.08,-4.78,-1.3693136244,344.3
2018-12-10,1,344.3,-4.89,-1.4202730177,339.41
2018-12-11,1,339.41,3.71,1.0930732742,343.12
2018-12-12,1,343.12,-4.5,-1.3114945209,338.62
2018-12-13,1,338.62,-5.07,-1.4972535586,333.55
2018-12-14,1,333.55,-4.57,-1.3701094289,328.98
2018-12-17,1,328.98,-4.47,-1.3587452125,324.51
2018-12-18,1,324.51,3.69,1.1370990108,328.2
2018-12-19,1,328.2,-4.43,-1.3497867154,323.77
2018-12-20,1,323.77,-4.61,-1.4238502641,319.16
2018-12-21,1,319.16,3.42,1.0715628525,322.58
2018-12-24,1,322.58,-4.22,-1.3082026164,318.36
2018-12-28,1,318.36,-4.1,-1.2878502324,314.26
2018-12-31,1,314.26,3.37,1.0723604659,317.63
2019-01-02,1,317.63,-4.66,-1.4671158266,312.97
2019-01-07,1,312.97,-4.16,-1.3292008819,308.81
2019-01-08,1,308.81,-3.47,-1.123668275,305.34
2019-01-09,1,305.34,3.63,1.1888386716,308.97
2019-01-10,1,308.97,-3.98,-1.2881509532,304.99
2019-01-15,1,304.99,3.13,1.0262631562,308.12
2019-01-16,1,308.12,-4.22,-1.3695962612,303.9
2019-01-17,1,303.9,2.81,0.9246462652,306.71
2019-01-18,1,306.71,-2.82,-0.9194352972,303.89
2019-01-22,1,303.89,3.67,1.2076738293,307.56
2019-01-23,1,307.56,-4.15,-1.349330212,303.41
2019-01-25,1,303.41,3.17,1.044790877,306.58
2019-01-28,1,306.58,-4.16,-1.3569052123,302.42
2019-01-29,1,302.42,3.52,1.1639441836,305.94
2019-01-30,1,305.94,3.38,1.1047917892,309.32
2019-01-31,1,309.32,-4.36,-1.4095435148,304.96
2019-02-01,1,304.96,-4.46,-1.4624868835,300.5
2019-02-04,1,300.5,-4.45,-1.4808652246,296.05
2019-02-06,1,296.05,3.28,1.1079209593,299.33
2019-02-11,2,299.33,6.59,2.2015835366,305.92
2019-02-12,1,305.92,-4.49,-1.4677039749,301.43
2019-02-13,1,301.43,3.4,1.1279567395,304.83
2019-02-14,1,304.83,-4.25,-1.394219729,300.58
2019-02-15,1,300.58,-4.03,-1.3407412336,296.55
2019-02-19,1,296.55,3.29,1.1094250548,299.84
2019-02-20,1,299.84,-4.48,-1.4941302028,295.36
2019-02-21,1,295.36,-4.05,-1.3712080173,291.31
2019-02-25,1,291.31,-4.04,-1.3868387628,287.27
2019-02-27,2,287.27,-0.82,-0.2854457479,286.45
2019-03-01,1,286.45,-3.76,-1.3126200035,282.69
2019-03-06,1,282.69,-4.08,-1.443277088,278.61
2019-03-07,1,278.61,3.08,1.1054879581,281.69
2019-03-08,1,281.69,3.17,1.1253505627,284.86
2019-03-12,1,284.86,-4.09,-1.4357930211,280.77
2019-03-13,1,280.77,-4.1,-1.4602699719,276.67
2019-03-14,1,276.67,-3.58,-1.2939603137,273.09
2019-03-15,1,273.09,-3.88,-1.4207770332,269.21
2019-03-18,1,269.21,-3.9,-1.4486831841,265.31
2019-03-19,1,265.31,-3.96,-1.4925935698,261.35
2019-03-20,1,261.35,2.89,1.1057968242,264.24
2019-03-21,1,264.24,-3.39,-1.282924614,260.85
2019-03-22,1,260.85,2.82,1.0810810811,263.67
2019-03-26,1,263.67,-3.89,-1.4753290097,259.78
2019-03-27,1,259.78,2.53,0.9739009931,262.31
2019-03-28,1,262.31,-3.86,-1.4715413061,258.45
2019-03-29,1,258.45,-3.5,-1.3542271232,254.95
2019-04-01,2,254.95,-7.11,-2.7887821141,247.84
2019-04-03,1,247.84,2.8,1.1297611362,250.64
2019-04-05,1,250.64,2.9,1.1570379828,253.54
2019-04-08,1,253.54,-3.64,-1.4356709001,249.9
2019-04-09,1,249.9,2.7,1.0804321729,252.6
2019-04-10,1,252.6,-3.73,-1.4766429137,248.87
2019-04-11,1,248.87,-3.33,-1.3380479769,245.54
2019-04-12,1,245.54,-3.51,-1.4295023214,242.03
2019-04-14,1,242.03,-3.5,-1.4461017229,238.53
2019-04-16,1,238.53,2.63,1.1025866767,241.16
2019-04-17,1,241.16,2.64,1.0947089069,243.8
2019-04-18,1,243.8,2.89,1.1853978671,246.69
2019-04-23,1,246.69,2.93,1.1877254854,249.62
2019-04-24,1,249.62,-3.5,-1.4021312395,246.12
2019-04-30,1,246.12,2.87,1.1660978385,248.99
2019-05-07,1,248.99,2.89,1.1606891843,251.88
2019-05-08,1,251.88,-3.45,-1.3696998571,248.43
2019-05-09,1,248.43,2.54,1.0224208026,250.97
2019-05-10,1,250.97,2.55,1.0160576961,253.52
2019-05-15,1,253.52,-3.29,-1.2977279899,250.23
2019-05-16,1,250.23,-3.19,-1.274827159,247.04
2019-05-20,1,247.04,-3.41,-1.3803432642,243.63
2019-05-21,1,243.63,-3.11,-1.2765258794,240.52
2019-05-23,1,240.52,-3.46,-1.4385498087,237.06
2019-05-24,1,237.06,-3.22,-1.3583059141,233.84
2019-05-28,1,233.84,2.63,1.12470065,236.47
2019-05-29,1,236.47,2.8,1.1840825475,239.27
2019-05-30,1,239.27,-3.55,-1.4836795252,235.72
2019-05-31,1,235.72,-3.04,-1.2896657051,232.68
2019-06-03,1,232.68,-3.22,-1.3838748496,229.46
2019-06-04,1,229.46,2.48,1.0807983962,231.94
2019-06-05,1,231.94,-3.32,-1.4314046736,228.62
2019-06-07,1,228.62,2.32,1.0147843583,230.94
2019-06-13,1,230.94,2.4,1.0392309691,233.34
2019-06-14,1,233.34,-3.13,-1.341390246,230.21
2019-06-17,1,230.21,-3.26,-1.416098345,226.95
2019-06-18,1,226.95,-3.16,-1.3923771756,223.79
2019-06-21,2,223.79,-5.29,-2.3638232271,218.5
2019-06-25,1,218.5,-3.18,-1.4553775744,215.32
2019-06-26,1,215.32,2.49,1.1564183541,217.81
2019-06-27,1,217.81,-2.78,-1.2763417658,215.03
2019-06-28,1,215.03,-3.15,-1.4649118728,211.88
2019-07-01,1,211.88,2.36,1.1138380215,214.24
2019-07-02,1,214.24,-2.42,-1.1295743092,211.82
2019-07-03,1,211.82,-2.93,-1.3832499292,208.89
2019-07-05,1,208.89,-2.77,-1.3260567763,206.12
2019-07-08,1,206.12,-3.08,-1.4942751795,203.04
2019-07-09,1,203.04,2.07,1.0195035461,205.11
2019-07-10,1,205.11,2.13,1.038467164,207.24
2019-07-11,1,207.24,-2.78,-1.3414398765,204.46
2019-07-12,1,204.46,2.19,1.0711141544,206.65
2019-07-15,1,206.65,2.32,1.1226711832,208.97
2019-07-16,1,208.97,2.5,1.1963439728,211.47
2019-07-18,2,211.47,-5.66,-2.6765025772,205.81
2019-07-22,1,205.81,-3.0,-1.4576551188,202.81
2019-07-23,1,202.81,-2.68,-1.3214338543,200.13
2019-07-24,1,200.13,2.08,1.0393244391,202.21
2019-07-25,1,202.21,-2.65,-1.3105187676,199.56
2019-07-29,1,199.56,1.98,0.9921828022,201.54
2019-07-30,1,201.54,2.13,1.0568621614,203.67
2019-08-05,1,203.67,-3.09,-1.5171601119,200.58
2019-08-08,1,200.58,2.04,1.0170505534,202.62
2019-08-09,1,202.62,-2.98,-1.4707333926,199.64
2019-08-12,1,199.64,-1.75,-0.8765778401,197.89
2019-08-13,1,197.89,2.17,1.0965688008,200.06
2019-08-16,1,200.06,1.62,0.8097570729,201.68
2019-08-21,1,201.68,2.4,1.1900039667,204.08
2019-08-28,1,204.08,-2.57,-1.2593100745,201.51
2019-08-29,1,201.51,-2.45,-1.2158205548,199.06
2019-09-03,1,199.06,2.03,1.0197930272,201.09
2019-09-04,1,201.09,1.92,0.9547963598,203.01
2019-09-05,1,203.01,-2.51,-1.2363922959,200.5
2019-09-06,1,200.5,2.34,1.1670822943,202.84
2019-09-09,1,202.84,2.05,1.0106487872,204.89
2019-09-10,1,204.89,-2.49,-1.2152862512,202.4
2019-09-11,1,202.4,2.32,1.1462450593,204.72
2019-09-12,1,204.72,-2.91,-1.4214536928,201.81
2019-09-17,1,201.81,-2.81,-1.3923987909,199.0
2019-09-19,1,199.0,0.73,0.3668341709,199.73
2019-09-22,1,199.73,1.89,0.9462774746,201.62
2019-09-23,1,201.62,2.33,1.1556393215,203.95
2019-09-24,1,203.95,-2.91,-1.4268202991,201.04
2019-09-27,1,201.04,-2.63,-1.3081973737,198.41
