period,trade_count,net
2018-01,15,-5.28
2018-02,16,-15.24
2018-03,19,-6.29
2018-04,18,11.79
2018-05,19,-18.83
2018-06,15,-51.14
2018-07,17,-8.93
2018-08,19,14.58
2018-09,17,-15.4
2018-10,18,-20.68
2018-11,16,-30.42
2018-12,15,-36.53
2019-01,16,-12.67
2019-02,15,-18.51
2019-03,17,-31.5
2019-04,16,-5.96
2019-05,14,-16.31
2019-06,14,-20.8
2019-07,19,-8.21
2019-08,9,-4.61
2019-09,15,-3.57
2019-10,18,-0.86
2019-11,16,-9.37
2019-12,18,-17.8
2020-01,12,-9.74
2020-02,12,-9.91
2020-03,8,-4.26
2020-04,14,-15.01
2020-05,18,-5.07
2020-06,18,1.77
2020-07,17,-0.55
2020-08,17,-2.61
2020-09,15,-10.45
2020-10,15,-12.79
2020-11,11,0.1
2020-12,19,-10.78
2021-01,18,-4.77
2021-02,15,-2.6
2021-03,22,-2.2
2021-04,18,-4.98
2021-05,15,-0.48
2021-06,17,3.76
2021-07,17,-3.85
2021-08,18,-6.72
2021-09,14,-1.36
2021-10,21,-3.4
2021-11,15,0.83
2021-12,15,4.33
2022-01,15,-6.21
2022-02,17,-1.48
2022-03,17,-2.14
2022-04,1,-0.8
2022-10,9,-2.55
2022-11,1,-0.67
2023-03,1,-0.86
2023-05,3,0.43
2023-06,5,1.66
2023-07,3,-2.27
2023-08,6,-0.3
2023-09,11,3.06
2023-10,17,-1.29
2023-11,8,0.99
2024-02,11,0.15
2024-03,9,-0.13
2024-04,16,-0.69
2024-05,15,-0.46
