run_tag,symbol,deal_ticket,position_id,signal_bar_open_time,signal_bar_close_time,entry_bar_open_time,entry_time,exit_time,z_score,ema48,residual,sigma48,atr14,atr_p20,atr_p80,xau_bar_time,xau_open,xau_close,xau_return,cross_asset_filter_enabled,cross_asset_filter_pass,alignment_exact,trade_direction,spread_at_entry_points,initial_sl_distance_points,initial_tp_distance_points,spread_over_sl,spread_over_tp,risk_budget,actual_initial_sl_risk,ocp_expected_pl,deal_profit,swap,commission,net,formula_value,formula_diff,close_type,exit_reason,server_utc_offset
DS260914_XAMR30_V1_TRAIN,USDJPYm,3,2,2018.01.02 10:00:00,2018.01.02 10:30:00,2018.01.02 10:30:00,2018.01.02 10:30:00,2018.01.02 10:59:57,-3.76489,112.606,-0.338,0.090,0.068,0.051,0.079,2018.01.02 10:00,1312.202,1310.974,-0.000936,1,1,1,long,11.0,67.6,54.1,0.16262,0.20327,7.50,7.23,-7.2800,-7.2800,0.00,0.00,-7.28,-7.2719,0.0081,full,sl,0
DS260914_XAMR30_V1_TRAIN,USDJPYm,5,4,2018.01.04 02:00:00,2018.01.04 02:30:00,2018.01.04 02:30:00,2018.01.04 02:30:00,2018.01.04 06:29:58,1.89237,112.442,0.225,0.119,0.067,0.051,0.076,2018.01.04 02:00,1307.107,1307.545,0.000335,1,1,1,short,9.0,66.9,53.5,0.13462,0.16827,7.39,7.15,5.6500,5.6500,0.00,0.00,5.65,5.6477,0.0023,full,tp,0
DS260914_XAMR30_V1_TRAIN,USDJPYm,7,6,2018.01.05 03:00:00,2018.01.05 03:30:00,2018.01.05 03:30:00,2018.01.05 03:30:00,2018.01.05 04:59:57,1.74171,112.703,0.104,0.060,0.051,0.050,0.076,2018.01.05 03:00,1321.045,1321.855,0.000613,1,1,1,short,9.0,51.4,41.1,0.17524,0.21905,7.48,7.31,-7.2300,-7.2300,0.00,0.00,-7.23,-7.2304,0.0004,full,sl,0
DS260914_XAMR30_V1_TRAIN,USDJPYm,9,8,2018.01.11 20:30:00,2018.01.11 21:00:00,2018.01.11 21:00:00,2018.01.11 21:00:00,2018.01.11 23:59:58,-1.55545,111.489,-0.280,0.180,0.098,0.057,0.102,2018.01.11 20:30,1322.385,1321.803,-0.000440,1,1,1,long,23.0,97.7,78.2,0.23538,0.29423,7.37,6.93,5.6000,5.6000,0.00,0.00,5.60,5.6060,0.0060,full,tp,0
DS260914_XAMR30_V1_TRAIN,USDJPYm,11,10,2018.01.12 09:30:00,2018.01.12 10:00:00,2018.01.12 10:00:00,2018.01.12 10:00:00,2018.01.12 10:59:58,-1.82373,111.323,-0.220,0.120,0.099,0.058,0.103,2018.01.12 09:30,1331.427,1330.839,-0.000442,1,1,1,long,13.0,98.5,78.8,0.13198,0.16497,7.45,7.08,-7.0600,-7.0600,0.00,0.00,-7.06,-7.0619,0.0019,full,sl,0
DS260914_XAMR30_V1_TRAIN,USDJPYm,13,12,2018.01.15 10:30:00,2018.01.15 11:00:00,2018.01.15 11:00:00,2018.01.15 11:00:00,2018.01.15 13:59:58,-1.67184,110.908,-0.276,0.165,0.113,0.060,0.114,2018.01.15 10:30,1343.342,1343.055,-0.000214,1,1,1,long,12.0,113.4,90.7,0.10586,0.13233,7.35,7.14,-7.1600,-7.1600,0.00,0.00,-7.16,-7.1563,0.0037,full,sl,0
DS260914_XAMR30_V1_TRAIN,USDJPYm,15,14,2018.01.16 02:00:00,2018.01.16 02:30:00,2018.01.16 02:30:00,2018.01.16 02:30:00,2018.01.16 02:59:57,1.67649,110.684,0.237,0.141,0.096,0.061,0.114,2018.01.16 02:00,1340.584,1340.894,0.000231,1,1,1,short,10.0,95.7,76.6,0.10448,0.13060,7.24,6.93,5.5600,5.5600,0.00,0.00,5.56,5.5574,0.0026,full,tp,0
DS260914_XAMR30_V1_TRAIN,USDJPYm,17,16,2018.01.18 04:00:00,2018.01.18 04:30:00,2018.01.18 04:30:00,2018.01.18 04:30:00,2018.01.18 05:29:58,2.26069,111.007,0.397,0.176,0.112,0.070,0.122,2018.01.18 04:00,1325.530,1326.395,0.000653,1,1,1,short,10.0,111.6,89.3,0.08957,0.11196,7.32,7.06,5.6000,5.6000,0.00,0.00,5.60,5.5967,0.0033,full,tp,0
DS260914_XAMR30_V1_TRAIN,USDJPYm,19,18,2018.01.19 06:30:00,2018.01.19 07:00:00,2018.01.19 07:00:00,2018.01.19 07:00:00,2018.01.19 07:59:58,-1.55647,110.995,-0.217,0.139,0.114,0.078,0.126,2018.01.19 06:30,1332.547,1332.082,-0.000349,1,1,1,long,12.0,114.1,91.3,0.10513,0.13141,7.41,7.19,-7.2100,-7.2100,0.00,0.00,-7.21,-7.2101,0.0001,full,sl,0
DS260914_XAMR30_V1_TRAIN,USDJPYm,21,20,2018.01.22 17:00:00,2018.01.22 17:30:00,2018.01.22 17:30:00,2018.01.22 17:30:00,2018.01.22 18:29:58,3.36696,110.794,0.327,0.097,0.100,0.090,0.127,2018.01.22 17:00,1331.844,1331.908,0.000048,1,1,1,short,12.0,99.8,79.8,0.12026,0.15032,7.30,7.21,5.7600,5.7600,0.00,0.00,5.76,5.7637,0.0037,full,tp,0
DS260914_XAMR30_V1_TRAIN,USDJPYm,23,22,2018.01.23 03:00:00,2018.01.23 03:30:00,2018.01.23 03:30:00,2018.01.23 03:30:00,2018.01.23 04:29:58,-1.68385,110.875,-0.167,0.099,0.102,0.091,0.127,2018.01.23 03:00,1336.266,1335.878,-0.000290,1,1,1,long,11.0,102.1,81.7,0.10777,0.13471,7.38,7.36,5.9200,5.9200,0.00,0.00,5.92,5.9206,0.0006,full,tp,0
