row_id,window,sample_type,timestamp,source_audit_file,source_ticket,row_status,bar_shift,usd_open,usd_high,usd_low,usd_close,usd_tr,ema48,residual,sigma48,z_score,atr14,atr_p20,atr_p80,xau_bar_time,xau_open,xau_close,xau_return,v1_candidate,v3_candidate,direction,atr_regime_pass,xau_filter_pass
DSTTR_K_01,DSTTR,control,2023.03.20 00:00:00,,,PASS,713,132.2750000000,132.4690000000,132.1840000000,132.4670000000,0.2850000000,132.4305512851,0.0364487149,0.3504106172,0.1040171532,0.2392857143,0.1474285714,0.3262142857,2023.03.20 00:00:00,1976.9680000000,1976.5160000000,-0.0002286329,0,0,short,1,0
DSTTR_C_01,DSTTR,candidate,2023.03.20 04:30:00,,,PASS,704,131.9880000000,131.9880000000,131.7460000000,131.8100000000,0.2440000000,132.3460058045,-0.5360058045,0.3204054757,-1.6728983902,0.2407857143,0.1474285714,0.3262142857,2023.03.20 04:30:00,1974.2150000000,1974.8390000000,0.0003160750,1,0,long,1,0
AUDIT_DSTTR_3,DSTTR,audit_bridge,2023.03.20 06:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,3,PASS,700,131.4870000000,131.4960000000,131.0230000000,131.1020000000,0.4730000000,132.2258224945,-1.1238224945,0.3179246956,-3.5348700811,0.2620000000,0.1474285714,0.3262142857,2023.03.20 06:30:00,1990.0400000000,1988.6060000000,-0.0007205885,1,1,long,1,1
DSTTR_C_02,DSTTR,candidate,2023.03.20 10:30:00,,,PASS,692,131.2420000000,131.4490000000,131.1860000000,131.2830000000,0.2630000000,131.8875630549,-0.6045630549,0.3513009150,-1.7209265023,0.3563571429,0.1516428571,0.3297142857,2023.03.20 10:30:00,1983.5590000000,1980.6740000000,-0.0014544564,1,0,long,0,1
AUDIT_DSTTR_5,DSTTR,audit_bridge,2023.03.21 09:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,5,PASS,647,132.1840000000,132.2920000000,132.1130000000,132.2160000000,0.1790000000,131.5711287081,0.6448712919,0.3116029910,2.0695285684,0.1905000000,0.1551428571,0.3405000000,2023.03.21 09:00:00,1966.2670000000,1967.3450000000,0.0005482470,1,1,short,1,1
DSTTR_K_02,DSTTR,control,2023.03.21 11:00:00,,,PASS,643,132.2040000000,132.3570000000,132.1480000000,132.1810000000,0.2090000000,131.6729004837,0.5080995163,0.3492419416,1.4548639661,0.2133571429,0.1564285714,0.3405000000,2023.03.21 11:00:00,1968.6660000000,1968.2480000000,-0.0002123265,0,0,short,1,0
DSTTR_C_03,DSTTR,candidate,2023.03.21 17:00:00,,,PASS,631,132.4100000000,132.5300000000,132.3670000000,132.5040000000,0.1630000000,131.8898450084,0.6141549916,0.3780864887,1.6243769878,0.2480000000,0.1601428571,0.3405000000,2023.03.21 17:00:00,1944.2940000000,1937.9990000000,-0.0032376791,1,0,short,1,0
AUDIT_DSTTR_7,DSTTR,audit_bridge,2023.03.22 07:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,7,PASS,602,132.5150000000,132.5960000000,132.4380000000,132.5910000000,0.1580000000,132.2787605068,0.3122394932,0.1792420477,1.7419991414,0.1666428571,0.1599285714,0.3405000000,2023.03.22 07:30:00,1935.9960000000,1939.7910000000,0.0019602313,1,0,short,1,1
DSTTR_K_03,DSTTR,control,2023.03.22 17:30:00,,,PASS,582,132.6400000000,132.6400000000,132.4910000000,132.4960000000,0.1490000000,132.4931233981,0.0028766019,0.1519407833,0.0189323880,0.1715000000,0.1670000000,0.3405000000,2023.03.22 17:30:00,1946.2090000000,1945.9300000000,-0.0001433556,0,0,short,1,0
DSTTR_C_04,DSTTR,candidate,2023.03.22 18:00:00,,,PASS,581,132.4980000000,132.5000000000,131.6530000000,131.8020000000,0.8470000000,132.4649142798,-0.6629142798,0.1529543764,-4.3340654610,0.2223571429,0.1670000000,0.3405000000,2023.03.22 18:00:00,1946.0020000000,1959.9210000000,0.0071526134,1,1,long,1,0
AUDIT_DSTTR_9,DSTTR,audit_bridge,2023.03.23 01:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,9,PASS,567,130.8940000000,130.9550000000,130.7600000000,130.8970000000,0.1950000000,131.9197099765,-1.0227099765,0.5353912117,-1.9102106165,0.2930714286,0.1710714286,0.3405000000,2023.03.23 01:00:00,1972.8550000000,1969.5320000000,-0.0016843610,1,0,long,1,1
DSTTR_C_05,DSTTR,candidate,2023.03.23 01:30:00,,,PASS,566,130.8940000000,130.9710000000,130.7970000000,130.8880000000,0.1740000000,131.8775993652,-0.9895993652,0.5470685449,-1.8089129313,0.2333571429,0.1710714286,0.3405000000,2023.03.23 01:30:00,1969.5460000000,1969.0470000000,-0.0002533579,1,0,long,1,1
AUDIT_DSTTR_11,DSTTR,audit_bridge,2023.03.24 01:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,11,PASS,519,130.5200000000,130.5410000000,130.1620000000,130.3560000000,0.3790000000,130.9793897860,-0.6233897860,0.3401165072,-1.8328713040,0.2385714286,0.1815714286,0.3405000000,2023.03.24 01:00:00,1993.7240000000,1992.1880000000,-0.0007704176,1,0,long,1,1
