row_id,window,sample_type,timestamp,source_audit_file,source_ticket,row_status,bar_shift,usd_open,usd_high,usd_low,usd_close,usd_tr,ema48,residual,sigma48,z_score,atr14,atr_p20,atr_p80,xau_bar_time,xau_open,xau_close,xau_return,v1_candidate,v3_candidate,direction,atr_regime_pass,xau_filter_pass
SUMMER_K_01,SUMMER,control,2023.07.03 00:00:00,,,PASS,1007,144.3930000000,144.4270000000,144.2200000000,144.2540000000,0.2070000000,144.4602228711,-0.2062228711,0.1734476332,-1.1889633043,0.0860000000,0.1087142857,0.1797142857,2023.07.03 00:00:00,1918.1640000000,1917.8370000000,-0.0001704755,0,0,long,0,1
SUMMER_C_01,SUMMER,candidate,2023.07.03 07:30:00,,,PASS,992,144.7500000000,144.8420000000,144.7170000000,144.8270000000,0.1250000000,144.5302340189,0.2967659811,0.1674730115,1.7720227188,0.1321428571,0.1080000000,0.1759285714,2023.07.03 07:30:00,1915.6260000000,1912.1310000000,-0.0018244689,1,0,short,1,0
AUDIT_SUMMER_3,SUMMER,audit_bridge,2023.07.03 08:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,3,PASS,991,144.8260000000,144.8780000000,144.7530000000,144.8390000000,0.1250000000,144.5428367120,0.2961632880,0.1720306243,1.7215730582,0.1335714286,0.1080000000,0.1759285714,2023.07.03 08:00:00,1912.1550000000,1912.4960000000,0.0001783328,1,0,short,1,1
SUMMER_K_02,SUMMER,control,2023.07.04 10:30:00,,,PASS,938,144.4340000000,144.4450000000,144.3790000000,144.4420000000,0.0660000000,144.5438541731,-0.1018541731,0.1151277109,-0.8847059693,0.1004285714,0.1064285714,0.1759285714,2023.07.04 10:30:00,1929.1190000000,1928.7910000000,-0.0001700258,0,0,long,0,1
AUDIT_SUMMER_5,SUMMER,audit_bridge,2023.07.05 10:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,5,PASS,890,144.3650000000,144.3760000000,144.2330000000,144.2330000000,0.1430000000,144.4693890378,-0.2363890378,0.1064647762,-2.2203497359,0.1326428571,0.0973571429,0.1681428571,2023.07.05 10:30:00,1928.4980000000,1927.2690000000,-0.0006372835,1,1,long,1,1
AUDIT_SUMMER_7,SUMMER,audit_bridge,2023.07.06 02:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,7,PASS,858,144.3400000000,144.3480000000,144.2190000000,144.2380000000,0.1290000000,144.4698455881,-0.2318455881,0.1336747978,-1.7344001412,0.1227857143,0.0963571429,0.1665714286,2023.07.06 02:30:00,1919.5560000000,1918.7020000000,-0.0004448945,1,0,long,1,1
SUMMER_C_02,SUMMER,candidate,2023.07.06 03:00:00,,,PASS,857,144.2400000000,144.2700000000,144.1700000000,144.1760000000,0.1000000000,144.4578518907,-0.2818518907,0.1375616849,-2.0489127538,0.1257857143,0.0963571429,0.1665714286,2023.07.06 03:00:00,1918.6850000000,1918.9450000000,0.0001355095,1,1,long,1,0
SUMMER_K_03,SUMMER,control,2023.07.06 12:00:00,,,PASS,839,143.6790000000,144.2560000000,143.6300000000,144.0630000000,0.6260000000,144.1608378368,-0.0978378368,0.2432820762,-0.4021580149,0.2231428571,0.0963571429,0.1675000000,2023.07.06 12:00:00,1926.5860000000,1910.4470000000,-0.0083769943,0,0,long,0,1
AUDIT_SUMMER_9,SUMMER,audit_bridge,2023.07.07 06:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,9,PASS,802,143.4790000000,143.5610000000,143.3500000000,143.3970000000,0.2110000000,143.9800547705,-0.5830547705,0.1806803843,-3.2269954073,0.1429285714,0.0955000000,0.1697142857,2023.07.07 06:30:00,1914.5400000000,1913.2890000000,-0.0006534207,1,1,long,1,1
SUMMER_C_03,SUMMER,candidate,2023.07.07 09:30:00,,,PASS,796,143.0410000000,143.1230000000,143.0000000000,143.1050000000,0.1230000000,143.7892796209,-0.6842796209,0.2532952479,-2.7015099043,0.1631428571,0.0955000000,0.1697142857,2023.07.07 09:30:00,1914.8440000000,1916.0240000000,0.0006162382,1,1,long,1,0
