row_id,window,sample_type,timestamp,source_audit_file,source_ticket,row_status,bar_shift,usd_open,usd_high,usd_low,usd_close,usd_tr,ema48,residual,sigma48,z_score,atr14,atr_p20,atr_p80,xau_bar_time,xau_open,xau_close,xau_return,v1_candidate,v3_candidate,direction,atr_regime_pass,xau_filter_pass
WINTER_K_01,WINTER,control,2023.01.02 23:00:00,,,PASS,1009,130.6710000000,131.3340000000,130.3970000000,130.8630000000,0.9370000000,130.8876990839,-0.0246990839,0.1849786690,-0.1335239572,0.1060000000,0.1222142857,0.2230714286,2023.01.02 23:00:00,1825.9680000000,1827.9340000000,0.0010766892,0,0,long,0,0
AUDIT_WINTER_3,WINTER,audit_bridge,2023.01.03 00:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,3,PASS,1006,130.7660000000,130.7660000000,130.5710000000,130.6070000000,0.1980000000,130.8643210056,-0.2573210056,0.1675390113,-1.5358870968,0.1495000000,0.1218571429,0.2230714286,2023.01.03 00:30:00,1831.0240000000,1830.5850000000,-0.0002397566,1,0,long,1,1
WINTER_C_01,WINTER,candidate,2023.01.03 00:30:00,,,PASS,1006,130.7660000000,130.7660000000,130.5710000000,130.6070000000,0.1980000000,130.8643210056,-0.2573210056,0.1675390113,-1.5358870968,0.1495000000,0.1218571429,0.2230714286,2023.01.03 00:30:00,1831.0240000000,1830.5850000000,-0.0002397566,1,0,long,1,1
WINTER_C_02,WINTER,candidate,2023.01.04 15:30:00,,,PASS,928,131.6430000000,132.0810000000,131.6430000000,132.0100000000,0.4380000000,130.7745436509,1.2354563491,0.2816025796,4.3872337781,0.2825714286,0.1218571429,0.2361428571,2023.01.04 15:30:00,1856.2140000000,1857.7220000000,0.0008124063,1,1,short,0,1
WINTER_K_02,WINTER,control,2023.01.05 03:30:00,,,PASS,904,132.1420000000,132.3810000000,132.0680000000,132.3420000000,0.3130000000,131.7133720110,0.6286279890,0.6267079287,1.0030637244,0.2265000000,0.1218571429,0.2361428571,2023.01.05 03:30:00,1854.6840000000,1853.2960000000,-0.0007483755,0,0,short,1,0
WINTER_C_03,WINTER,candidate,2023.01.05 14:30:00,,,PASS,882,133.6180000000,133.7830000000,133.5500000000,133.7410000000,0.2330000000,132.3671054433,1.3738945567,0.4047607724,3.3943372243,0.2864285714,0.1218571429,0.2450714286,2023.01.05 14:30:00,1836.0560000000,1834.3880000000,-0.0009084690,1,1,short,0,0
AUDIT_WINTER_5,WINTER,audit_bridge,2023.01.06 00:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,5,PASS,863,133.3170000000,133.4870000000,133.3020000000,133.4350000000,0.1850000000,132.9161423621,0.5188576379,0.3210022442,1.6163676340,0.1437142857,0.1218571429,0.2517142857,2023.01.06 00:00:00,1832.8000000000,1833.1860000000,0.0002106067,1,0,short,1,1
WINTER_C_04,WINTER,candidate,2023.01.06 03:00:00,,,PASS,857,133.6390000000,133.8710000000,133.6280000000,133.8320000000,0.2430000000,133.0873897140,0.7446102860,0.2982725015,2.4964094317,0.1470714286,0.1218571429,0.2517142857,2023.01.06 03:00:00,1838.2140000000,1840.2510000000,0.0011081408,1,1,short,1,1
WINTER_C_05,WINTER,candidate,2023.01.06 11:30:00,,,PASS,840,134.2740000000,134.6210000000,134.2590000000,134.5240000000,0.3620000000,133.6665733103,0.8574266897,0.2871868782,2.9856053833,0.2448571429,0.1227857143,0.2517142857,2023.01.06 11:30:00,1839.7160000000,1836.6380000000,-0.0016730843,1,1,short,1,0
WINTER_K_03,WINTER,control,2023.01.09 19:00:00,,,PASS,777,131.8490000000,131.8520000000,131.5990000000,131.6060000000,0.2530000000,132.1197184637,-0.5137184637,0.4285520080,-1.1987307352,0.2592857143,0.1292142857,0.2661428571,2023.01.09 19:00:00,1871.2580000000,1872.5190000000,0.0006738782,0,0,long,1,0
