row_id,window,sample_type,timestamp,source_audit_file,source_ticket
WINTER_K_01,WINTER,control,2023.01.02 23:00:00,,
AUDIT_WINTER_3,WINTER,audit_bridge,2023.01.03 00:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,3
WINTER_C_01,WINTER,candidate,2023.01.03 00:30:00,,
WINTER_C_02,WINTER,candidate,2023.01.04 15:30:00,,
WINTER_K_02,WINTER,control,2023.01.05 03:30:00,,
WINTER_C_03,WINTER,candidate,2023.01.05 14:30:00,,
AUDIT_WINTER_5,WINTER,audit_bridge,2023.01.06 00:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,5
WINTER_C_04,WINTER,candidate,2023.01.06 03:00:00,,
WINTER_C_05,WINTER,candidate,2023.01.06 11:30:00,,
WINTER_K_03,WINTER,control,2023.01.09 19:00:00,,
AUDIT_WINTER_7,WINTER,audit_bridge,2023.01.11 02:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,7
WINTER_C_06,WINTER,candidate,2023.01.11 02:30:00,,
WINTER_K_04,WINTER,control,2023.01.11 18:00:00,,
WINTER_C_07,WINTER,candidate,2023.01.11 23:00:00,,
AUDIT_WINTER_9,WINTER,audit_bridge,2023.01.11 23:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,9
WINTER_C_08,WINTER,candidate,2023.01.12 11:00:00,,
WINTER_C_09,WINTER,candidate,2023.01.12 19:30:00,,
AUDIT_WINTER_11,WINTER,audit_bridge,2023.01.13 00:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,11
WINTER_C_10,WINTER,candidate,2023.01.13 05:00:00,,
WINTER_C_11,WINTER,candidate,2023.01.13 13:00:00,,
WINTER_C_12,WINTER,candidate,2023.01.13 21:30:00,,
AUDIT_WINTER_13,WINTER,audit_bridge,2023.01.16 03:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,13
AUDIT_WINTER_15,WINTER,audit_bridge,2023.01.17 07:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,15
WINTER_C_13,WINTER,candidate,2023.01.17 10:00:00,,
WINTER_K_05,WINTER,control,2023.01.17 18:30:00,,
WINTER_C_14,WINTER,candidate,2023.01.18 14:00:00,,
WINTER_K_06,WINTER,control,2023.01.19 13:30:00,,
AUDIT_WINTER_17,WINTER,audit_bridge,2023.01.20 06:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,17
WINTER_C_15,WINTER,candidate,2023.01.20 13:00:00,,
