window,sample_type,row_id,timestamp,mql_status,py_ema48,mql_ema48,diff_ema48,tol_ema48,py_residual,mql_residual,diff_residual,tol_residual,py_sigma48,mql_sigma48,diff_sigma48,tol_sigma48,py_z_score,mql_z_score,diff_z_score,tol_z_score,py_atr14,mql_atr14,diff_atr14,tol_atr14,py_atr_p20,mql_atr_p20,diff_atr_p20,tol_atr_p20,py_atr_p80,mql_atr_p80,diff_atr_p80,tol_atr_p80,py_xau_return,mql_xau_return,diff_xau_return,tol_xau_return,py_xau_bar_time,mql_xau_bar_time,py_xau_open,mql_xau_open,py_xau_close,mql_xau_close,py_v1_candidate,mql_v1_candidate,py_v3_candidate,mql_v3_candidate,py_direction,mql_direction,py_atr_regime_pass,mql_atr_regime_pass,py_xau_filter_pass,mql_xau_filter_pass,row_status
WINTER,control,WINTER_K_01,2023.01.02 23:00:00,PASS,130.887699084,130.887699084,1.1027623259e-11,1.30887699084e-06,-0.024699083889,-0.0246990839,1.10242058537e-11,1e-06,0.184978669043,0.184978669,4.32205937706e-11,1e-06,-0.133523957204,-0.1335239572,3.97798460838e-12,1e-06,0.106,0.106,4.69069227904e-15,1e-06,0.122214285714,0.1222142857,1.42846012796e-11,1e-06,0.223071428571,0.2230714286,2.85761692087e-11,1e-06,0.00107668918623,0.0010766892,1.37711704019e-11,1e-06,2023.01.02 23:00:00,2023.01.02 23:00:00,1825.968,1825.9680000000,1827.934,1827.9340000000,0,0,0,0,long,long,0,0,0,0,PASS
WINTER,candidate,WINTER_C_01,2023.01.03 00:30:00,PASS,130.864321006,130.864321006,1.04591890704e-11,1.30864321006e-06,-0.25732100559,-0.2573210056,1.04541375556e-11,1e-06,0.16753901125,0.1675390113,4.95299357084e-11,1e-06,-1.5358870968,-1.5358870968,4.06585876078e-12,1e-06,0.1495,0.1495,3.30291349826e-15,1e-06,0.121857142857,0.1218571429,4.28559132626e-11,1e-06,0.223071428571,0.2230714286,2.85761692087e-11,1e-06,-0.000239756551525,-0.0002397566,4.84748057395e-11,1e-06,2023.01.03 00:30:00,2023.01.03 00:30:00,1831.024,1831.0240000000,1830.585,1830.5850000000,1,1,0,0,long,long,1,1,1,1,PASS
WINTER,candidate,WINTER_C_02,2023.01.04 15:30:00,PASS,130.774543651,130.774543651,1.09992015496e-11,1.30774543651e-06,1.23545634909,1.2354563491,1.10083053784e-11,1e-06,0.281602579567,0.2816025796,3.26532689776e-11,1e-06,4.38723377814,4.3872337781,3.91873200556e-11,1e-06,0.282571428571,0.2825714286,2.8574254074e-11,1e-06,0.121857142857,0.1218571429,4.28559132626e-11,1e-06,0.236142857143,0.2361428571,4.28579671752e-11,1e-06,0.00081240632815,0.0008124063,2.81496063438e-11,1e-06,2023.01.04 15:30:00,2023.01.04 15:30:00,1856.214,1856.2140000000,1857.722,1857.7220000000,1,1,1,1,short,short,0,0,1,1,PASS
WINTER,control,WINTER_K_02,2023.01.05 03:30:00,PASS,131.713372011,131.713372011,4.66968685942e-11,1.31713372011e-06,0.628627989047,0.628627989,4.67198502108e-11,1e-06,0.626707928654,0.6267079287,4.55300241953e-11,1e-06,1.00306372443,1.0030637244,3.12070369546e-11,1e-06,0.2265,0.2265,3.49720252757e-15,1e-06,0.121857142857,0.1218571429,4.28559132626e-11,1e-06,0.236142857143,0.2361428571,4.28579671752e-11,1e-06,-0.0007483754645,-0.0007483755,3.55004267085e-11,1e-06,2023.01.05 03:30:00,2023.01.05 03:30:00,1854.684,1854.6840000000,1853.296,1853.2960000000,0,0,0,0,short,short,1,1,0,0,PASS
WINTER,candidate,WINTER_C_03,2023.01.05 14:30:00,PASS,132.367105443,132.367105443,4.64979166281e-11,1.32367105443e-06,1.37389455675,1.3738945567,4.65065763677e-11,1e-06,0.404760772411,0.4047607724,1.07467368338e-11,1e-06,3.39433722434,3.3943372243,4.0242031929e-11,1e-06,0.286428571429,0.2864285714,2.856875847e-11,1e-06,0.121857142857,0.1218571429,4.28559132626e-11,1e-06,0.245071428571,0.2450714286,2.8566538024e-11,1e-06,-0.000908469022731,-0.000908469,2.27314507278e-11,1e-06,2023.01.05 14:30:00,2023.01.05 14:30:00,1836.056,1836.0560000000,1834.388,1834.3880000000,1,1,1,1,short,short,0,0,0,0,PASS
WINTER,candidate,WINTER_C_04,2023.01.06 03:00:00,PASS,133.087389714,133.087389714,3.13491455017e-11,1.33087389714e-06,0.744610286031,0.744610286,3.13317150002e-11,1e-06,0.298272501528,0.2982725015,2.80587220125e-11,1e-06,2.4964094317,2.4964094317,2.23820961764e-13,1e-06,0.147071428571,0.1470714286,2.85716172943e-11,1e-06,0.121857142857,0.1218571429,4.28559132626e-11,1e-06,0.251714285714,0.2517142857,1.4287848682e-11,1e-06,0.0011081408367,0.0011081408,3.67035195639e-11,1e-06,2023.01.06 03:00:00,2023.01.06 03:00:00,1838.214,1838.2140000000,1840.251,1840.2510000000,1,1,1,1,short,short,1,1,1,1,PASS
WINTER,candidate,WINTER_C_05,2023.01.06 11:30:00,PASS,133.66657331,133.66657331,9.15179043659e-12,1.3366657331e-06,0.857426689691,0.8574266897,9.16022813158e-12,1e-06,0.287186878238,0.2871868782,3.80808162781e-11,1e-06,2.98560538334,2.9856053833,3.51834117396e-11,1e-06,0.244857142857,0.2448571429,4.28532764829e-11,1e-06,0.122785714286,0.1227857143,1.42881678711e-11,1e-06,0.251714285714,0.2517142857,1.4287848682e-11,1e-06,-0.00167308432388,-0.0016730843,2.38847993033e-11,1e-06,2023.01.06 11:30:00,2023.01.06 11:30:00,1839.716,1839.7160000000,1836.638,1836.6380000000,1,1,1,1,short,short,1,1,0,0,PASS
WINTER,control,WINTER_K_03,2023.01.09 19:00:00,PASS,132.119718464,132.119718464,3.70050656784e-11,1.32119718464e-06,-0.513718463663,-0.5137184637,3.70031782992e-11,1e-06,0.428552008035,0.428552008,3.5268343801e-11,1e-06,-1.1987307352,-1.1987307352,1.29918298342e-12,1e-06,0.259285714286,0.2592857143,1.42840184125e-11,1e-06,0.129214285714,0.1292142857,1.42875711262e-11,1e-06,0.266142857143,0.2661428571,4.28550528397e-11,1e-06,0.000673878214549,0.0006738782,1.45487842693e-11,1e-06,2023.01.09 19:00:00,2023.01.09 19:00:00,1871.258,1871.2580000000,1872.519,1872.5190000000,0,0,0,0,long,long,1,1,0,0,PASS
WINTER,candidate,WINTER_C_06,2023.01.11 02:30:00,PASS,132.152421194,132.152421194,3.02975422528e-11,1.32152421194e-06,0.40157880607,0.4015788061,3.03065905705e-11,1e-06,0.147750898489,0.1477508985,1.05965514141e-11,1e-06,2.71794493418,2.7179449342,2.08402184398e-11,1e-06,0.158928571429,0.1589285714,2.85669543576e-11,1e-06,0.149714285714,0.1497142857,1.42819089888e-11,1e-06,0.266142857143,0.2661428571,4.28550528397e-11,1e-06,0.000188842401414,0.0001888424,1.4138134836e-12,1e-06,2023.01.11 02:30:00,2023.01.11 02:30:00,1874.579,1874.5790000000,1874.933,1874.9330000000,1,1,1,1,short,short,1,1,1,1,PASS
WINTER,control,WINTER_K_04,2023.01.11 18:00:00,PASS,132.419251584,132.419251584,9.03810359887e-12,1.32419251584e-06,0.104748416291,0.1047484163,9.0402269004e-12,1e-06,0.11713946867,0.1171394687,3.00043878632e-11,1e-06,0.894219663793,0.8942196638,7.12263581448e-12,1e-06,0.184,0.184,2.49800180541e-15,1e-06,0.158785714286,0.1587857143,1.42867939701e-11,1e-06,0.266142857143,0.2661428571,4.28550528397e-11,1e-06,0.000687915003805,0.000687915,3.805050784e-12,1e-06,2023.01.11 18:00:00,2023.01.11 18:00:00,1873.778,1873.7780000000,1875.067,1875.0670000000,0,0,0,0,short,short,1,1,1,1,PASS
