window,deal_ticket,position_id,entry_time,exit_time,exit_reason,full_held_bars,first_counted_bar_open,last_counted_bar_open,counted_bar_timestamps
WINTER,3,2,2023.01.03 01:00:00,2023.01.03 01:13:40,sl,0,,,
WINTER,5,4,2023.01.06 00:30:00,2023.01.06 00:53:40,sl,0,,,
WINTER,7,6,2023.01.11 03:00:00,2023.01.11 03:51:40,tp,1,2023.01.11 03:00:00,2023.01.11 03:00:00,2023.01.11 03:00:00
WINTER,9,8,2023.01.12 00:00:00,2023.01.12 00:10:20,sl,0,,,
WINTER,11,10,2023.01.13 01:00:00,2023.01.13 01:23:40,sl,0,,,
WINTER,13,12,2023.01.16 03:30:00,2023.01.16 04:49:20,tp,2,2023.01.16 03:30:00,2023.01.16 04:00:00,2023.01.16 03:30:00|2023.01.16 04:00:00
WINTER,15,14,2023.01.17 07:30:00,2023.01.17 07:50:40,tp,0,,,
WINTER,17,16,2023.01.20 06:30:00,2023.01.20 07:17:40,tp,1,2023.01.20 06:30:00,2023.01.20 06:30:00,2023.01.20 06:30:00
WINTER,19,18,2023.01.23 15:30:00,2023.01.23 21:30:00,time_exit,12,2023.01.23 15:30:00,2023.01.23 21:00:00,2023.01.23 15:30:00|2023.01.23 16:00:00|2023.01.23 16:30:00|2023.01.23 17:00:00|2023.01.23 17:30:00|2023.01.23 18:00:00|2023.01.23 18:30:00|2023.01.23 19:00:00|2023.01.23 19:30:00|2023.01.23 20:00:00|2023.01.23 20:30:00|2023.01.23 21:00:00
WINTER,21,20,2023.01.25 10:00:00,2023.01.25 10:32:40,tp,1,2023.01.25 10:00:00,2023.01.25 10:00:00,2023.01.25 10:00:00
WINTER,23,22,2023.01.26 04:30:00,2023.01.26 04:47:40,tp,0,,,
WINTER,25,24,2023.01.30 05:30:00,2023.01.30 07:12:40,sl,3,2023.01.30 05:30:00,2023.01.30 06:30:00,2023.01.30 05:30:00|2023.01.30 06:00:00|2023.01.30 06:30:00
DSTTR,3,2,2023.03.20 07:00:00,2023.03.20 07:28:40,sl,0,,,
DSTTR,5,4,2023.03.21 09:30:00,2023.03.21 10:42:20,sl,2,2023.03.21 09:30:00,2023.03.21 10:00:00,2023.03.21 09:30:00|2023.03.21 10:00:00
DSTTR,7,6,2023.03.22 08:00:00,2023.03.22 08:13:40,tp,0,,,
DSTTR,9,8,2023.03.23 01:30:00,2023.03.23 02:52:20,sl,2,2023.03.23 01:30:00,2023.03.23 02:00:00,2023.03.23 01:30:00|2023.03.23 02:00:00
DSTTR,11,10,2023.03.24 01:30:00,2023.03.24 01:56:40,tp,0,,,
