run_tag,symbol,utc_day,signal_bar_time,reason,z_score,atr14,atr_p20,atr_p80,xau_bar_time,xau_return,nearest_xau_bar_time,raw_lot,final_lot,risk_budget,actual_risk,ocp_err,server_utc_offset
DS260914_XAMR30_SMOKE_DSTTR,USDJPYm,2023.03.20,2023.03.20 04:30:00,cross_asset_filter_fail,-1.67290,0.241,0.147,0.326,2023.03.20 04:30,0.000316,2023.03.20 04:30,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_DSTTR,USDJPYm,2023.03.20,2023.03.20 05:30:00,cross_asset_filter_fail,-1.51875,0.226,0.147,0.326,2023.03.20 05:30,0.006275,2023.03.20 05:30,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_DSTTR,USDJPYm,2023.03.20,2023.03.20 06:00:00,cross_asset_filter_fail,-2.49855,0.244,0.147,0.326,2023.03.20 06:00,0.000988,2023.03.20 06:00,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_DSTTR,USDJPYm,2023.03.21,2023.03.21 08:00:00,cross_asset_filter_fail,1.77123,0.181,0.154,0.341,2023.03.21 08:00,-0.001366,2023.03.21 08:00,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_DSTTR,USDJPYm,2023.03.21,2023.03.21 08:30:00,cross_asset_filter_fail,2.05268,0.184,0.155,0.341,2023.03.21 08:30,-0.000655,2023.03.21 08:30,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_DSTTR,USDJPYm,2023.03.23,2023.03.22 23:30:00,cross_asset_filter_fail,-1.74907,0.320,0.170,0.341,2023.03.22 23:30,0.001132,2023.03.22 23:30,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_DSTTR,USDJPYm,2023.03.23,2023.03.23 00:00:00,cross_asset_filter_fail,-1.83220,0.325,0.171,0.341,2023.03.23 00:00,0.000360,2023.03.23 00:00,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_DSTTR,USDJPYm,2023.03.23,2023.03.23 00:30:00,cross_asset_filter_fail,-2.05363,0.340,0.171,0.341,2023.03.23 00:30,0.001211,2023.03.23 00:30,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_DSTTR,USDJPYm,2023.03.27,2023.03.27 06:00:00,cross_asset_filter_fail,1.85547,0.195,0.177,0.329,2023.03.27 06:00,-0.000993,2023.03.27 06:00,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_DSTTR,USDJPYm,2023.03.28,2023.03.28 00:30:00,atr_out_of_regime,-2.07735,0.129,0.172,0.306,,,,0.0000,0.00,0.00,0.00,0,0
