run_tag,symbol,utc_day,signal_bar_time,reason,z_score,atr14,atr_p20,atr_p80,xau_bar_time,xau_return,raw_lot,final_lot,risk_budget,actual_risk,ocp_err
DS260914_XAMR30_SMOKE_SUMMER,USDJPYm,2023.07.04,2023.07.04 06:30:00,atr_out_of_regime,-1.97266,0.090,0.106,0.176,,0.000000,0.0000,0.00,0.00,0.00,0
DS260914_XAMR30_SMOKE_SUMMER,USDJPYm,2023.07.04,2023.07.04 08:00:00,atr_out_of_regime,-1.56584,0.089,0.106,0.176,,0.000000,0.0000,0.00,0.00,0.00,0
DS260914_XAMR30_SMOKE_SUMMER,USDJPYm,2023.07.04,2023.07.04 08:30:00,atr_out_of_regime,-1.79099,0.091,0.106,0.176,,0.000000,0.0000,0.00,0.00,0.00,0
DS260914_XAMR30_SMOKE_SUMMER,USDJPYm,2023.07.04,2023.07.04 09:00:00,atr_out_of_regime,-1.94368,0.093,0.106,0.176,,0.000000,0.0000,0.00,0.00,0.00,0
DS260914_XAMR30_SMOKE_SUMMER,USDJPYm,2023.07.04,2023.07.04 12:30:00,atr_out_of_regime,-1.67473,0.100,0.106,0.176,,0.000000,0.0000,0.00,0.00,0.00,0
DS260914_XAMR30_SMOKE_SUMMER,USDJPYm,2023.07.04,2023.07.04 13:00:00,atr_out_of_regime,-1.53065,0.093,0.106,0.176,,0.000000,0.0000,0.00,0.00,0.00,0
DS260914_XAMR30_SMOKE_SUMMER,USDJPYm,2023.07.04,2023.07.04 14:00:00,atr_out_of_regime,-2.01742,0.086,0.106,0.176,,0.000000,0.0000,0.00,0.00,0.00,0
DS260914_XAMR30_SMOKE_SUMMER,USDJPYm,2023.07.05,2023.07.05 06:00:00,atr_out_of_regime,2.03632,0.093,0.097,0.168,,0.000000,0.0000,0.00,0.00,0.00,0
DS260914_XAMR30_SMOKE_SUMMER,USDJPYm,2023.07.05,2023.07.05 06:30:00,atr_out_of_regime,1.50899,0.096,0.097,0.168,,0.000000,0.0000,0.00,0.00,0.00,0
DS260914_XAMR30_SMOKE_SUMMER,USDJPYm,2023.07.05,2023.07.05 09:00:00,cross_asset_filter_fail,-1.92394,0.116,0.097,0.168,2023.07.05 09:00,0.000873,0.0000,0.00,0.00,0.00,0
DS260914_XAMR30_SMOKE_SUMMER,USDJPYm,2023.07.05,2023.07.05 09:30:00,cross_asset_filter_fail,-1.76152,0.121,0.097,0.168,2023.07.05 09:30,0.000146,0.0000,0.00,0.00,0.00,0
