run_tag,symbol,utc_day,signal_bar_time,reason,z_score,atr14,atr_p20,atr_p80,xau_bar_time,xau_return,nearest_xau_bar_time,raw_lot,final_lot,risk_budget,actual_risk,ocp_err,server_utc_offset
DS260914_XAMR30_SMOKE_WINTER,USDJPYm,2023.01.02,2023.01.01 23:30:00,cross_asset_missing_bar,-3.23987,0.225,0.129,0.243,,,2022.12.30 21:30,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_WINTER,USDJPYm,2023.01.02,2023.01.02 00:00:00,cross_asset_missing_bar,-2.79051,0.199,0.129,0.243,,,2022.12.30 21:30,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_WINTER,USDJPYm,2023.01.02,2023.01.02 00:30:00,cross_asset_missing_bar,-2.96198,0.180,0.129,0.243,,,2022.12.30 21:30,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_WINTER,USDJPYm,2023.01.02,2023.01.02 01:00:00,cross_asset_missing_bar,-2.83224,0.161,0.129,0.242,,,2022.12.30 21:30,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_WINTER,USDJPYm,2023.01.02,2023.01.02 01:30:00,cross_asset_missing_bar,-2.74854,0.158,0.129,0.241,,,2022.12.30 21:30,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_WINTER,USDJPYm,2023.01.02,2023.01.02 02:00:00,cross_asset_missing_bar,-2.35080,0.154,0.129,0.240,,,2022.12.30 21:30,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_WINTER,USDJPYm,2023.01.02,2023.01.02 02:30:00,cross_asset_missing_bar,-2.18302,0.151,0.129,0.240,,,2022.12.30 21:30,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_WINTER,USDJPYm,2023.01.02,2023.01.02 03:00:00,cross_asset_missing_bar,-2.31141,0.146,0.129,0.240,,,2022.12.30 21:30,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_WINTER,USDJPYm,2023.01.02,2023.01.02 03:30:00,cross_asset_missing_bar,-2.39692,0.131,0.129,0.240,,,2022.12.30 21:30,0.0000,0.00,0.00,0.00,0,0
DS260914_XAMR30_SMOKE_WINTER,USDJPYm,2023.01.02,2023.01.02 04:00:00,atr_out_of_regime,-2.30117,0.119,0.129,0.240,,,,0.0000,0.00,0.00,0.00,0,0
