run_tag,symbol,utc_day,server_time,utc_time,server_utc_offset,reason,range_hi,range_lo,range_count,expected_range_count,atr,range_atr_mult,raw_lot,final_lot,risk_budget,actual_risk,ocp_err
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.04.28,2022.04.28 07:00:00,2022.04.28 07:00:00,0,risk_reject,130.268,128.350,12,12,0.313,6.1236,0.0000,0.00,1.89,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.04.28,2022.04.28 08:00:00,2022.04.28 08:00:00,0,risk_reject,130.268,128.350,12,12,0.354,5.4137,0.0000,0.00,1.89,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.04.28,2022.04.28 08:30:00,2022.04.28 08:30:00,0,risk_reject,130.268,128.350,12,12,0.360,5.3352,0.0000,0.00,1.89,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.04.28,2022.04.28 09:00:00,2022.04.28 09:00:00,0,risk_reject,130.268,128.350,12,12,0.377,5.0818,0.0000,0.00,1.89,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.04.28,2022.04.28 10:00:00,2022.04.28 10:00:00,0,risk_reject,130.268,128.350,12,12,0.374,5.1303,0.0000,0.00,1.89,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.04.28,2022.04.28 11:00:00,2022.04.28 11:00:00,0,risk_reject,130.268,128.350,12,12,0.383,5.0106,0.0000,0.00,1.89,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.04.28,2022.04.28 11:30:00,2022.04.28 11:30:00,0,risk_reject,130.268,128.350,12,12,0.391,4.9054,0.0000,0.00,1.89,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.06.17,2022.06.17 09:30:00,2022.06.17 09:30:00,0,risk_reject,134.642,132.174,12,12,0.357,6.9090,0.0000,0.00,2.26,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.06.17,2022.06.17 10:00:00,2022.06.17 10:00:00,0,risk_reject,134.642,132.174,12,12,0.340,7.2665,0.0000,0.00,2.26,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.06.17,2022.06.17 10:30:00,2022.06.17 10:30:00,0,risk_reject,134.642,132.174,12,12,0.319,7.7246,0.0000,0.00,2.26,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.06.17,2022.06.17 11:00:00,2022.06.17 11:00:00,0,risk_reject,134.642,132.174,12,12,0.307,8.0297,0.0000,0.00,2.26,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.07.29,2022.07.29 07:00:00,2022.07.29 07:00:00,0,risk_reject,134.671,132.752,12,12,0.333,5.7591,0.0000,0.00,2.15,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.09,2022.09.09 07:30:00,2022.09.09 07:30:00,0,risk_reject,143.955,142.445,12,12,0.313,4.8243,0.0000,0.00,2.07,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.09,2022.09.09 08:00:00,2022.09.09 08:00:00,0,risk_reject,143.955,142.445,12,12,0.316,4.7839,0.0000,0.00,2.07,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.09,2022.09.09 08:30:00,2022.09.09 08:30:00,0,risk_reject,143.955,142.445,12,12,0.332,4.5531,0.0000,0.00,2.07,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.09,2022.09.09 09:00:00,2022.09.09 09:00:00,0,risk_reject,143.955,142.445,12,12,0.344,4.3850,0.0000,0.00,2.07,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.09,2022.09.09 09:30:00,2022.09.09 09:30:00,0,risk_reject,143.955,142.445,12,12,0.348,4.3444,0.0000,0.00,2.07,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.09,2022.09.09 10:00:00,2022.09.09 10:00:00,0,risk_reject,143.955,142.445,12,12,0.322,4.6905,0.0000,0.00,2.07,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.09,2022.09.09 10:30:00,2022.09.09 10:30:00,0,risk_reject,143.955,142.445,12,12,0.330,4.5827,0.0000,0.00,2.07,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.09,2022.09.09 11:00:00,2022.09.09 11:00:00,0,risk_reject,143.955,142.445,12,12,0.295,5.1162,0.0000,0.00,2.07,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.09,2022.09.09 11:30:00,2022.09.09 11:30:00,0,risk_reject,143.955,142.445,12,12,0.313,4.8287,0.0000,0.00,2.07,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.14,2022.09.14 07:30:00,2022.09.14 07:30:00,0,risk_reject,144.847,143.528,12,12,0.273,4.8290,0.0000,0.00,2.10,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.22,2022.09.22 07:00:00,2022.09.22 07:00:00,0,risk_reject,145.385,143.508,12,12,0.424,4.4269,0.0000,0.00,2.11,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.22,2022.09.22 07:30:00,2022.09.22 07:30:00,0,risk_reject,145.385,143.508,12,12,0.422,4.4471,0.0000,0.00,2.11,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.22,2022.09.22 08:00:00,2022.09.22 08:00:00,0,risk_reject,145.385,143.508,12,12,0.435,4.3128,0.0000,0.00,2.11,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.22,2022.09.22 08:30:00,2022.09.22 08:30:00,0,risk_reject,145.385,143.508,12,12,0.662,2.8360,0.0000,0.00,2.11,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.22,2022.09.22 09:00:00,2022.09.22 09:00:00,0,risk_reject,145.385,143.508,12,12,0.816,2.2992,0.0000,0.00,2.11,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.22,2022.09.22 09:30:00,2022.09.22 09:30:00,0,risk_reject,145.385,143.508,12,12,0.736,2.5508,0.0000,0.00,2.11,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.22,2022.09.22 10:00:00,2022.09.22 10:00:00,0,risk_reject,145.385,143.508,12,12,0.767,2.4474,0.0000,0.00,2.11,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.22,2022.09.22 10:30:00,2022.09.22 10:30:00,0,risk_reject,145.385,143.508,12,12,0.774,2.4237,0.0000,0.00,2.11,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.22,2022.09.22 11:00:00,2022.09.22 11:00:00,0,risk_reject,145.385,143.508,12,12,0.791,2.3714,0.0000,0.00,2.11,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.09.22,2022.09.22 11:30:00,2022.09.22 11:30:00,0,risk_reject,145.385,143.508,12,12,0.798,2.3534,0.0000,0.00,2.11,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.10.24,2022.10.24 07:00:00,2022.10.24 07:00:00,0,risk_reject,149.037,147.363,12,12,0.239,6.9937,0.0000,0.00,1.93,0.00,0
DS260914_JSB30_V1_TRAIN,USDJPYm,2022.10.28,2022.10.28 07:30:00,2022.10.28 07:30:00,0,risk_reject,146.853,145.985,12,12,0.292,2.9770,0.0000,0.00,1.98,0.00,0
