window_id,window_type,train_start,train_end_exclusive,validation_start,validation_end_exclusive,test_start,test_end_exclusive,deployment_start,deployment_end_exclusive,pilot
W01,FULL_6_3_3,2024-01-01,2024-07-01,2024-07-01,2024-10-01,2024-10-01,2025-01-01,2024-10-01,2024-11-01,true
W02,FULL_6_3_3,2024-02-01,2024-08-01,2024-08-01,2024-11-01,2024-11-01,2025-02-01,2024-11-01,2024-12-01,true
W03,FULL_6_3_3,2024-03-01,2024-09-01,2024-09-01,2024-12-01,2024-12-01,2025-03-01,2024-12-01,2025-01-01,true
W04,FULL_6_3_3,2024-04-01,2024-10-01,2024-10-01,2025-01-01,2025-01-01,2025-04-01,2025-01-01,2025-02-01,false
W05,FULL_6_3_3,2024-05-01,2024-11-01,2024-11-01,2025-02-01,2025-02-01,2025-05-01,2025-02-01,2025-03-01,false
W06,FULL_6_3_3,2024-06-01,2024-12-01,2024-12-01,2025-03-01,2025-03-01,2025-06-01,2025-03-01,2025-04-01,false
W07,FULL_6_3_3,2024-07-01,2025-01-01,2025-01-01,2025-04-01,2025-04-01,2025-07-01,2025-04-01,2025-05-01,false
W08,FULL_6_3_3,2024-08-01,2025-02-01,2025-02-01,2025-05-01,2025-05-01,2025-08-01,2025-05-01,2025-06-01,false
W09,FULL_6_3_3,2024-09-01,2025-03-01,2025-03-01,2025-06-01,2025-06-01,2025-09-01,2025-06-01,2025-07-01,false
W10,FULL_6_3_3,2024-10-01,2025-04-01,2025-04-01,2025-07-01,2025-07-01,2025-10-01,2025-07-01,2025-08-01,false
W11,FULL_6_3_3,2024-11-01,2025-05-01,2025-05-01,2025-08-01,2025-08-01,2025-11-01,2025-08-01,2025-09-01,false
W12,FULL_6_3_3,2024-12-01,2025-06-01,2025-06-01,2025-09-01,2025-09-01,2025-12-01,2025-09-01,2025-10-01,false
W13,FULL_6_3_3,2025-01-01,2025-07-01,2025-07-01,2025-10-01,2025-10-01,2026-01-01,2025-10-01,2025-11-01,false
W14,FULL_6_3_3,2025-02-01,2025-08-01,2025-08-01,2025-11-01,2025-11-01,2026-02-01,2025-11-01,2025-12-01,false
W15,FULL_6_3_3,2025-03-01,2025-09-01,2025-09-01,2025-12-01,2025-12-01,2026-03-01,2025-12-01,2026-01-01,false
W16,FULL_6_3_3,2025-04-01,2025-10-01,2025-10-01,2026-01-01,2026-01-01,2026-04-01,2026-01-01,2026-02-01,false
W17,FULL_6_3_3,2025-05-01,2025-11-01,2025-11-01,2026-02-01,2026-02-01,2026-05-01,2026-02-01,2026-03-01,false
W18,FULL_6_3_3,2025-06-01,2025-12-01,2025-12-01,2026-03-01,2026-03-01,2026-06-01,2026-03-01,2026-04-01,false
W19,FULL_6_3_3,2025-07-01,2026-01-01,2026-01-01,2026-04-01,2026-04-01,2026-07-01,2026-04-01,2026-05-01,false
W20,TAIL_MONTHLY_UPDATE,2025-08-01,2026-02-01,2026-02-01,2026-05-01,2026-05-01,2026-07-01,2026-05-01,2026-06-01,false
W21,TAIL_MONTHLY_UPDATE,2025-09-01,2026-03-01,2026-03-01,2026-06-01,2026-06-01,2026-07-01,2026-06-01,2026-07-01,false
