run_id,strategy_id,trades,net_profit,final_equity,max_drawdown,win_rate,profit_factor,cost_total,research_conclusion
C1,C,1920,-858.319,-358.319,1.801868,0.28125,0.784207,796.523,INCONCLUSIVE_COST_INCOMPLETE
C2,C,1707,-1164.1977,-664.1977,2.352465,0.264792,0.709103,709.575,INCONCLUSIVE_COST_INCOMPLETE
C3,C,1376,-857.6103,-357.6103,1.699973,0.262355,0.764041,575.451,INCONCLUSIVE_COST_INCOMPLETE
G_E1.0_L2,G,1805,-835.3406,-335.3406,1.674347,0.553463,0.855675,376.68,INCONCLUSIVE_COST_INCOMPLETE
G_E1.0_L3,G,1905,-782.502,-282.502,1.568512,0.538583,0.868196,264.9733,INCONCLUSIVE_COST_INCOMPLETE
G_E1.5_L2,G,1424,-549.9602,-49.9602,1.117122,0.540028,0.884084,297.3155,INCONCLUSIVE_COST_INCOMPLETE
G_E1.5_L3,G,1496,-433.4939,66.5061,0.935902,0.532754,0.910302,208.34,INCONCLUSIVE_COST_INCOMPLETE
MR_M24_D1.0,MR,1697,-1120.4682,-620.4682,2.211977,0.43901,0.774449,703.975,INCONCLUSIVE_COST_INCOMPLETE
MR_M24_D1.5,MR,1285,-665.1162,-165.1162,1.341894,0.433463,0.82856,533.963,INCONCLUSIVE_COST_INCOMPLETE
MR_M48_D1.0,MR,1393,-650.2264,-150.2264,1.329956,0.406317,0.85747,578.346,INCONCLUSIVE_COST_INCOMPLETE
MR_M48_D1.5,MR,1110,-568.3859,-68.3859,1.18226,0.38018,0.852535,460.763,INCONCLUSIVE_COST_INCOMPLETE
T_F12_S36_SL1.5,T,928,-482.2633,17.7367,1.110191,0.219828,0.851069,381.447,INCONCLUSIVE_COST_INCOMPLETE
T_F12_S36_SL2.5,T,739,-382.121,117.879,0.965923,0.26387,0.877747,303.224,INCONCLUSIVE_COST_INCOMPLETE
T_F24_S72_SL1.5,T,892,-695.6188,-195.6188,1.472855,0.216368,0.793951,367.86,INCONCLUSIVE_COST_INCOMPLETE
T_F24_S72_SL2.5,T,640,-576.5163,-76.5163,1.242806,0.303125,0.814739,265.749,INCONCLUSIVE_COST_INCOMPLETE
