ini,symbol,from,to,expert,exposed_oos,holdout
run_BS75_test.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BS75f.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BS75t2.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-057.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_TrendCore,True,False
run_BT_btc-058.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_TrendCore,True,False
run_BT_btc-059.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_TrendCore,True,False
run_BT_btc-106.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-107.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-108.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-109.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-112.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-113.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-114.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-115.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-116.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-118.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-123.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-125.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-133.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-134.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-135.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-139.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-140.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-141.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-142.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-145.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-146.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-148.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-149.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-150.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-151.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-152.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-153.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-156.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-157.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-158.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-160.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-163.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-165.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-166.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-168.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-169.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-172.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-173.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-174.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-175.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-180.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-181.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-183.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-184.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
run_BT_btc-188.ini,BTCUSDm,2025-06-01,2026-05-31,dshtrend\dsh_BtcSwing,True,False
