run_id,composite_key,source_line,req_or_grid,status,flags,unknown_fields,occurrences,lineage,config_hash,symbol,deposit,model,period,latency,d_from,d_to,expert,ea_sha256,ex5_sha256,ini_sha256,report_sha256,audit_rows,audit_has_position_id,trade_count_mt5,net,pf,dd_pct
GD_gold-001,gold-001|GD_gold-001|-,黄金,gold-001,lead_only,AUDIT_RECONCILE_REQUIRED,,1,done,,XAUUSDm,300,2,M1,?/?,2014-01-14,2024-05-31,trend,FFB6FC20714A085C919A6E9711A9CCD0843B74B9C32DAEC66EE2EC54B1C0802A,91C5C771879E5BE607E6687F9AC6779878B9A42BA515F8D8905CC2650F5B86E8,44FDB0368573E397260133DFE820C826ADC25633A1E4F4B0F6DD7EFB7664EA53,1A27CBA907E7198024C3A4D4ED79E2EAA440FE964F4410A0605610B58286E2C7,17,0,17.0,-25.39,0.38,12.44
GD_gold-002,gold-002|GD_gold-002|C1CF564CD042359D,黄金,gold-002,lead_only,AUDIT_RECONCILE_REQUIRED,,1,done,C1CF564CD042359D,XAUUSDm,300,2,M1,?/?,2014-01-14,2024-05-31,trend,FFB6FC20714A085C919A6E9711A9CCD0843B74B9C32DAEC66EE2EC54B1C0802A,91C5C771879E5BE607E6687F9AC6779878B9A42BA515F8D8905CC2650F5B86E8,81311C7DE88DE87ADF9DE423E18754A2D5ED61C82C0912D0E0DB03384FD0DEA8,6BC716BC197F35FE5B80A7F9EFC570F4F124E9912BAA2C1B234ED7704A6576C0,22,0,22.0,-43.0,0.29,20.12
GD_gold-003,gold-003|GD_gold-003|21DC768919BB3B59,黄金,gold-003,lead_only,AUDIT_RECONCILE_REQUIRED,,1,done,21DC768919BB3B59,XAUUSDm,300,2,M1,?/?,2014-01-14,2024-05-31,trend,FFB6FC20714A085C919A6E9711A9CCD0843B74B9C32DAEC66EE2EC54B1C0802A,91C5C771879E5BE607E6687F9AC6779878B9A42BA515F8D8905CC2650F5B86E8,DD761C9951E215ECBD684CDF8ECCCF1CE1338AA5743E5F3B7DDBF7126BEC35AD,425DED8C3F033E5B5D713AF82CACD212E3904C80AC39139721A4A6EED0B21E8A,23,0,23.0,-51.33,0.19,20.11
GD_gold-004,gold-004|GD_gold-004|6FE6CEA8BF9FF077,黄金,gold-004,lead_only,AUDIT_RECONCILE_REQUIRED,,1,done,6FE6CEA8BF9FF077,XAUUSDm,300,2,M1,?/?,2014-01-14,2024-05-31,trend,FFB6FC20714A085C919A6E9711A9CCD0843B74B9C32DAEC66EE2EC54B1C0802A,91C5C771879E5BE607E6687F9AC6779878B9A42BA515F8D8905CC2650F5B86E8,135E63A60956B3117C01650A3F983CD352B698F2740521282992698FD86DDF9E,388E5EBB9E96CAC37E3842D6D13E2BAB255B402D818B2C4166599DD93188E4F3,17,0,17.0,-25.39,0.38,12.44
GD_gold-005,gold-005|GD_gold-005|D6EC8502228BFE09,黄金,gold-005,lead_only,AUDIT_RECONCILE_REQUIRED,,1,done,D6EC8502228BFE09,XAUUSDm,300,2,M1,?/?,2014-01-14,2024-05-31,trend,FFB6FC20714A085C919A6E9711A9CCD0843B74B9C32DAEC66EE2EC54B1C0802A,91C5C771879E5BE607E6687F9AC6779878B9A42BA515F8D8905CC2650F5B86E8,AA88F6EEB2EF54766A894A7E85F28463F82EC48A2168332F7E50695A961E04DF,B6E08E3257EA5E0F8B816063ED934EA59191636E5F36F7AD55B9186164074CDF,1,0,1.0,-18.35,0.0,22.03
GD_gold-006,gold-006|GD_gold-006|4BDCE5502A7A6AF9,黄金,gold-006,lead_only,AUDIT_RECONCILE_REQUIRED,,1,done,4BDCE5502A7A6AF9,XAUUSDm,300,2,M1,?/?,2014-01-14,2024-05-31,trend,FFB6FC20714A085C919A6E9711A9CCD0843B74B9C32DAEC66EE2EC54B1C0802A,91C5C771879E5BE607E6687F9AC6779878B9A42BA515F8D8905CC2650F5B86E8,D634FCD71DEB4F750FF926993BD7C2AE65F61CB206FCEAA7C246FD55DCA9A0D3,4766DF453D6C17134C04D07C431212372603560AC6C19A88A728828A1C6BE3F3,3,0,3.0,-27.99,0.0,20.71
GD_gold-007,gold-007|GD_gold-007|8E1EB9EB55BE9971,黄金,gold-007,lead_only,AUDIT_RECONCILE_REQUIRED,,1,done,8E1EB9EB55BE9971,XAUUSDm,300,2,M1,?/?,2014-01-14,2024-05-31,trend,FFB6FC20714A085C919A6E9711A9CCD0843B74B9C32DAEC66EE2EC54B1C0802A,91C5C771879E5BE607E6687F9AC6779878B9A42BA515F8D8905CC2650F5B86E8,DA7CB4EB557133DA8E7B90E344D16325AEA727241A236ADC92A33469ED75F365,10FB60453D6C6FAF8A614D4ED978A044188B46DC63CE904EE109355F8E82407B,14,0,14.0,-41.56,0.12,20.35
GD_gold-008,gold-008|GD_gold-008|6807FA5599223858,黄金,gold-008,lead_only,AUDIT_RECONCILE_REQUIRED,,1,done,6807FA5599223858,XAUUSDm,300,2,M1,?/?,2014-01-14,2024-05-31,trend,FFB6FC20714A085C919A6E9711A9CCD0843B74B9C32DAEC66EE2EC54B1C0802A,91C5C771879E5BE607E6687F9AC6779878B9A42BA515F8D8905CC2650F5B86E8,4670F309E3CE55FFA55AB911527BB73106BE6AC1E235A1400A4B442DC82037FA,A7FD954D5C78D46A3F9C60277349D8CCA3F9A24D843ABD9D14A6D4F914F54EB8,2,0,2.0,-23.87,0.0,20.47
GD_gold-009,gold-009|GD_gold-009|DBCD4B8A3796D1D2,黄金,gold-009,lead_only,AUDIT_RECONCILE_REQUIRED,,1,done,DBCD4B8A3796D1D2,XAUUSDm,300,2,M1,?/?,2014-01-14,2024-05-31,trend,FFB6FC20714A085C919A6E9711A9CCD0843B74B9C32DAEC66EE2EC54B1C0802A,91C5C771879E5BE607E6687F9AC6779878B9A42BA515F8D8905CC2650F5B86E8,53783CAE4B11ABF78F908FE9BB5CAF5A144CD176A383E42DADD0E19B14A8710F,D0997855A6794D41F05A362C3A18DCC927FD5926EA2E6F182A93FDF9F898EA4E,27,0,27.0,55.99,1.5,20.73
GD_gold-010,gold-010|GD_gold-010|D8649FBB0D5F5D75,黄金,gold-010,lead_only,AUDIT_RECONCILE_REQUIRED,,1,done,D8649FBB0D5F5D75,XAUUSDm,300,2,M1,?/?,2014-01-14,2024-05-31,trend,FFB6FC20714A085C919A6E9711A9CCD0843B74B9C32DAEC66EE2EC54B1C0802A,91C5C771879E5BE607E6687F9AC6779878B9A42BA515F8D8905CC2650F5B86E8,A5D879C4713CD921002A201CE7802C49936D9B5A0703BC92DC79E24B63EB0667,07B07B338F5D89493AD365DD62B166154B4997A20B8CDE582F6235FC009E9A75,12,0,12.0,-27.58,0.26,14.58
GD_gold-011,gold-011|GD_gold-011|73DDFD4769680A38,黄金,gold-011,lead_only,AUDIT_RECONCILE_REQUIRED,,1,done,73DDFD4769680A38,XAUUSDm,300,2,M1,?/?,2014-01-14,2024-05-31,trend,FFB6FC20714A085C919A6E9711A9CCD0843B74B9C32DAEC66EE2EC54B1C0802A,91C5C771879E5BE607E6687F9AC6779878B9A42BA515F8D8905CC2650F5B86E8,6A27F553378240BBD6C9298A15DAE6D764B3B059D0C1EFB8E689A61D2492117C,E499FFEE547ADA114DACE867E62E770800FD084B31F01590F0F6FBA9DA98A7FD,54,0,54.0,-17.37,0.86,20.39
