vol_regime,real_vol_regime,market_state,year,n,net_pnl,win_rate,avg_pnl,max_loss,profit_factor
0,0,0,2025,22.0,157.32000000000005,0.8181818181818182,7.150909090909093,-19.96,3.9219910846953927
0,0,0,2026,40.0,91.7,0.7,2.2925,-63.85,1.3894669781269908
0,0,1,2024,50.0,-25.870000000000008,0.24,-0.5174000000000002,-5.41,0.658030403172505
0,0,1,2025,75.0,27.930000000000007,0.41333333333333333,0.37240000000000006,-5.84,1.2541170048221273
0,0,1,2026,10.0,8.44,0.5,0.844,-8.85,1.2891401164782461
0,0,2,2024,19.0,-9.8,0.21052631578947367,-0.5157894736842106,-2.65,0.4463276836158191
0,0,2,2025,9.0,12.469999999999999,0.4444444444444444,1.3855555555555554,-4.78,1.7174913693901037
0,0,2,2026,7.0,15.52,0.42857142857142855,2.217142857142857,-7.93,1.6965888689407538
1,1,0,2024,111.0,34.69000000000002,0.5855855855855856,0.3125225225225227,-34.23,1.1382291998724898
1,1,0,2025,128.0,361.07,0.7265625,2.820859375,-30.71,2.4013972443236944
1,1,0,2026,531.0,787.41,0.7156308851224106,1.4828813559322034,-54.96,1.4697477688159215
1,1,1,2024,2.0,-10.01,0.0,-5.005,-8.28,0.0
1,1,1,2025,27.0,10.530000000000001,0.4444444444444444,0.39000000000000007,-8.73,1.1528745644599303
1,1,1,2026,12.0,1.5199999999999991,0.4166666666666667,0.1266666666666666,-12.32,1.0389543823680163
1,1,2,2024,21.0,-28.929999999999993,0.19047619047619047,-1.3776190476190473,-7.39,0.5196745807737009
1,1,2,2025,16.0,-16.01,0.25,-1.000625,-7.96,0.6765003030915336
1,1,2,2026,21.0,80.56000000000002,0.42857142857142855,3.836190476190477,-17.48,2.2068913857677903
2,2,0,2025,7.0,232.13,1.0,33.16142857142857,3.8,inf
2,2,0,2026,103.0,2580.58,0.883495145631068,25.05417475728155,-141.65,6.0120027967681775
2,2,1,2026,11.0,17.910000000000004,0.36363636363636365,1.6281818181818186,-15.59,1.2881274131274132
2,2,2,2025,1.0,-13.17,0.0,-13.17,-13.17,0.0
